cod,x1,y1,x2,y2
1100015,-62.8937,-13.1189,-61.8865,-11.8275
1100023,-63.6182,-10.2883,-62.4226,-9.6692
1100031,-60.9248,-13.6937,-60.3653,-13.3186
1100049,-61.7958,-11.6191,-61.0006,-10.9875
1100056,-61.908,-13.3637,-60.7167,-13.0043
1100064,-60.7437,-13.3249,-60.3332,-12.9489
1100072,-61.5158,-13.1355,-60.643,-12.6266
1100080,-64.5946,-12.5318,-63.5443,-11.6407
1100098,-61.2117,-11.7492,-60.4351,-10.9884
1100106,-65.4292,-12.2162,-63.5195,-10.4291
1100114,-63.1454,-11.0746,-62.122,-10.2219
1100122,-62.1649,-11.2133,-61.4618,-9.6843
1100130,-62.5552,-9.8046,-61.4685,-8.5758
1100148,-62.4799,-11.9685,-61.9525,-11.2885
1100155,-62.5253,-10.8994,-61.8278,-10.117
1100189,-61.5758,-12.2614,-60.3007,-11.4638
1100205,-66.8103,-10.0004,-62.2371,-7.9693
1100254,-62.1839,-11.4024,-61.632,-10.9863
1100262,-63.1201,-9.8477,-62.4225,-9.525
1100288,-62.0504,-11.9068,-61.5214,-11.5745
1100296,-61.8905,-12.4292,-61.5305,-11.8562
1100304,-60.81,-13.258,-59.7744,-10.9899
1100320,-63.6301,-12.2372,-62.4531,-11.0055
1100338,-65.3919,-10.8733,-63.7067,-9.9362
1100346,-63.1964,-11.6157,-62.0933,-11.0532
1100379,-62.4177,-13.1815,-61.5246,-11.9648
1100403,-63.7658,-10.0004,-63.0716,-9.3952
1100452,-64.3474,-10.3622,-63.5243,-9.8126
1100502,-62.213,-11.877,-61.9116,-11.5002
1100601,-63.2622,-10.4925,-62.6708,-10.167
1100700,-64.225,-10.8417,-63.4428,-10.1535
1100809,-63.7969,-9.4285,-62.7166,-8.5004
1100908,-62.0861,-11.5853,-61.6142,-11.2905
1100924,-61.3492,-12.9924,-60.4436,-12.1661
1100940,-63.0996,-9.5263,-62.2899,-8.7288
1101005,-63.6278,-11.1534,-62.5716,-10.4915
1101104,-63.534,-9.4808,-62.6279,-8.7842
1101203,-61.7444,-11.3335,-61.4268,-10.9863
1101302,-63.197,-11.2122,-62.5489,-10.8782
1101401,-63.597,-10.4926,-63.1131,-10.0004
1101435,-62.7171,-11.0734,-62.3524,-10.7095
1101450,-61.6786,-12.6261,-61.1421,-12.0005
1101468,-62.1179,-13.5576,-60.7052,-12.4635
1101476,-61.4248,-12.0863,-61.1899,-11.7299
1101484,-61.5643,-12.09,-61.3637,-11.7432
1101492,-64.0856,-12.9279,-62.2509,-11.8333
1101500,-63.6799,-12.3094,-62.8375,-11.463
1101559,-62.4945,-11.0304,-62.1226,-10.8347
1101609,-62.6699,-10.3726,-61.9544,-9.8058
1101708,-62.6913,-11.2248,-62.144,-11.005
1101757,-62.4307,-10.0546,-61.477,-9.3268
1101807,-62.2597,-10.6595,-61.9106,-10.0665
1200013,-67.1925,-10.2324,-66.6238,-9.6762
1200054,-70.621,-11.0694,-69.39,-10.3677
1200104,-69.7779,-11.0212,-68.6837,-10.385
1200138,-68.4552,-9.9611,-67.7958,-9.2428
1200179,-68.0638,-10.7127,-67.5877,-10.1967
1200203,-73.6322,-8.4754,-71.9454,-7.4377
1200252,-68.8351,-11.1456,-68.3882,-10.614
1200302,-72.1816,-10,-69.443,-7.7924
1200328,-72.3428,-9.7968,-71.482,-8.6473
1200336,-73.9904,-7.7926,-72.7834,-7.1118
1200344,-70.6206,-10.4255,-68.9211,-8.3665
1200351,-73.2119,-9.5087,-72.0284,-8.6717
1200385,-67.7108,-10.5104,-67.0012,-9.9707
1200393,-73.344,-8.7825,-72.2013,-8.12
1200401,-69.3638,-10.4853,-67.4817,-9.5052
1200427,-73.772,-8.059,-72.6194,-7.6629
1200435,-71.1018,-10.0793,-69.7917,-8.9575
1200450,-67.8287,-10.3634,-67.09,-9.5924
1200500,-70.6209,-10.7302,-68.2199,-8.8145
1200609,-72.2663,-8.8962,-70.5152,-7.6268
1200708,-69.1691,-11.0406,-67.9834,-10.1831
1200807,-68.0903,-9.927,-67.3257,-9.3436
1300029,-65.9255,-4.2927,-64.6673,-3.0566
1300060,-68.6326,-3.775,-67.834,-3.0678
1300086,-62.088,-3.6849,-61.2793,-3.2625
1300102,-62.9913,-4.6782,-61.3729,-3.6314
1300144,-60.6966,-8.8033,-58.1371,-6.3815
1300201,-73.8016,-7.2159,-70.1241,-4.1268
1300300,-60.287,-4.4208,-58.7873,-3.2432
1300409,-65.3796,-2.494,-61.382,2.2119
1300508,-57.4937,-3.6767,-56.7335,-2.5898
1300607,-71.3433,-6.7319,-69.4372,-4.2645
1300631,-62.8307,-5.4599,-60.8033,-3.6257
1300680,-58.0745,-3.5139,-57.3502,-2.8002
1300706,-69.213,-9.5923,-67.0578,-8.0456
1300805,-61.2933,-6.8121,-58.1058,-3.8522
1300839,-62.5831,-3.5004,-61.0719,-2.6095
1300904,-65.0392,-8.9965,-63.1356,-5.9162
1301001,-68.3128,-6.0509,-65.9502,-4.2946
1301100,-60.8033,-4.2224,-59.6567,-3.2764
1301159,-60.1859,-3.5494,-59.2335,-3.0609
1301209,-65.9006,-5.8065,-62.2566,-2.2651
1301308,-64.3867,-4.1555,-61.8005,-2.1023
1301407,-71.3817,-7.7263,-69.3335,-6.356
1301506,-71.0885,-8.0611,-69.4744,-7.1732
1301605,-67.3093,-3.162,-65.2684,-1.9306
1301654,-73.7382,-7.6006,-72.0456,-6.9033
1301704,-63.6356,-8.8814,-61.6357,-6.1419
1301803,-72.1831,-7.6923,-70.6467,-6.5951
1301852,-60.9947,-3.3604,-59.895,-2.8119
1301902,-59.5005,-3.7535,-58.0648,-2.5175
1301951,-69.5374,-7.4108,-66.3548,-6.0436
1302009,-59.2768,-2.8592,-57.8766,-2.2307
1302108,-70.0581,-2.841,-66.0014,0.0683
1302207,-67.1959,-4.3046,-65.2536,-2.4456
1302306,-70.5719,-6.6453,-66.2835,-2.3669
1302405,-67.5006,-9.818,-64.3299,-6.9486
1302504,-61.4835,-3.8215,-60.311,-2.7327
1302553,-61.1637,-4.1746,-60.1833,-3.304
1302603,-60.8027,-3.2222,-59.1599,-1.9243
1302702,-62.8565,-8.8628,-60.5135,-4.712
1302801,-66.0016,-3.8129,-63.7532,-1.4125
1302900,-58.918,-7.3501,-56.9138,-3.1336
1303007,-59.1946,-2.4261,-56.0976,0.2635
1303106,-59.2122,-4.5066,-58.1194,-3.5439
1303205,-63.9893,-3.1068,-60.3578,-0.4976
1303304,-61.7133,-8.7987,-59.3104,-4.8697
1303403,-57.429,-3.333,-56.3892,-2.2423
1303502,-69.8028,-8.5849,-66.3642,-6.9449
1303536,-60.9642,-2.4801,-59.0824,0.0382
1303569,-60.0466,-2.9719,-59.1559,-2.0459
1303601,-67.6495,-1.7984,-63.9639,1.2951
1303700,-69.8377,-3.7227,-67.755,-2.4396
1303809,-70.0467,-1.5279,-65.8889,2.2466
1303908,-70.4454,-6.3067,-68.6247,-3.1683
1303957,-59.5203,-2.6537,-57.7726,-1.1395
1304005,-59.0513,-3.1446,-58.1019,-2.5581
1304062,-69.9549,-4.3717,-69.3998,-3.6866
1304104,-67.7972,-7.3456,-62.1029,-4.5231
1304203,-66.9745,-5.5614,-64.0716,-3.2669
1304237,-68.703,-2.9792,-67.139,-2.1731
1304260,-65.9946,-4.1329,-64.716,-2.2803
1304302,-60.2305,-2.763,-57.329,0.2635
1304401,-58.1929,-3.2151,-57.2893,-2.4554
1400027,-64.8253,3.1243,-60.5952,4.3254
1400050,-64.2552,2.465,-61.0005,3.7418
1400100,-61.0005,2.4285,-60.2858,3.606
1400159,-60.5683,1.9996,-59.7191,3.5863
1400175,-61.053,1.7064,-60.1495,2.8849
1400209,-62.7363,-1.4017,-59.4127,2.0256
1400233,-59.8211,0.2635,-58.8869,1.6266
1400282,-63.9781,1.5296,-60.9383,2.8299
1400308,-63.0964,2.1221,-60.835,2.9471
