cod,x1,y1,x2,y2
11,-66.8103,-13.6937,-59.7744,-7.9759
12,-73.9904,-11.1456,-66.6236,-7.1118
13,-73.8016,-9.818,-56.0976,2.2466
14,-64.8253,-1.5806,-58.8869,5.2718
15,-58.8983,-9.8412,-46.0615,2.591
16,-54.8763,-1.2362,-49.8758,4.5088
17,-50.7421,-13.4682,-45.6996,-5.1684
21,-48.7552,-10.2618,-41.7961,-1.0493
22,-46.0282,-10.9288,-40.3705,-2.7499
23,-41.4235,-7.8576,-37.2527,-2.7843
24,-38.5821,-6.9827,-34.9685,-4.8164
25,-38.7656,-8.303,-34.7932,-6.0266
26,-41.3583,-9.4829,-32.3778,-3.8046
27,-38.2376,-10.5004,-35.1519,-8.8131
28,-38.245,-11.5685,-36.3959,-9.515
29,-46.5772,-18.3485,-37.3411,-8.5328
31,-51.0461,-22.9228,-39.8568,-14.2332
32,-41.8798,-21.3018,-28.8478,-17.8919
33,-44.8893,-23.3689,-40.9579,-20.7632
35,-53.1099,-25.358,-44.1614,-19.7799
41,-54.6199,-26.7171,-48.0235,-22.5167
42,-53.8371,-29.3551,-48.3279,-25.9558
43,-57.6497,-33.7512,-49.6914,-27.0826
50,-58.1685,-24.0686,-50.9229,-17.1666
51,-61.6333,-18.0416,-50.2248,-7.349
52,-53.2485,-19.4984,-45.9072,-12.3954
53,-48.2858,-16.05,-47.3085,-15.5018
