cod,x1,y1,x2,y2
11,-66.8057,-13.6933,-59.7738,-7.9689
12,-73.9907,-11.1448,-66.6194,-7.1115
13,-73.801,-9.814,-56.0971,2.247
14,-64.8247,-1.5803,-58.8864,5.2722
15,-58.8978,-9.8407,-46.0605,2.5914
16,-54.8758,-1.2354,-49.8758,4.4371
17,-50.7416,-13.4673,-45.6957,-5.1682
21,-48.7547,-10.2613,-41.7955,-1.0436
22,-45.9935,-10.9283,-40.3701,-2.7389
23,-41.4231,-7.8571,-37.2526,-2.784
24,-38.5817,-6.9823,-34.9682,-4.8313
25,-38.7652,-8.3025,-34.7933,-6.0262
26,-41.358,-9.4825,-32.3916,-3.8301
27,-38.2372,-10.5008,-35.1517,-8.8127
28,-38.2453,-11.5681,-36.3935,-9.5146
29,-46.6167,-18.3489,-37.3408,-8.5324
31,-51.0456,-22.9223,-39.8565,-14.2327
32,-41.8792,-21.3013,-28.8356,-17.8915
33,-44.8885,-23.3684,-40.9564,-20.7635
35,-53.1094,-25.3118,-44.1605,-19.7792
41,-54.6188,-26.7168,-48.0231,-22.5162
42,-53.8358,-29.3509,-48.3583,-25.9555
43,-57.6432,-33.7516,-49.6911,-27.0801
50,-58.167,-24.0681,-50.9224,-17.1659
51,-61.6328,-18.0411,-50.2244,-7.3486
52,-53.2507,-19.4987,-45.9065,-12.3953
53,-48.2867,-16.0511,-47.3078,-15.4997
