cod_ap,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c5z_v0450_naonulo,c5z_v0450_naonulo_carteira,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,e4z_v4276_naonulo,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100015001001,708,2720,6859.99999998001,26532.99999972,28.52,77.18,6.23,0,3.87,67.75,10.86,41.36,557.81,961.58,1.22,2.22,8.22,38.86,11.9,71.19,1.09,59.05,0,14.84,34.86,46.05,0.32,5.53,85.08,22.15,74.45,100,100,100,53.28,86.78,51.4,52.26,15.66,7.99,1.15,3.8,61.96,0.518,1234.5,2385.07,0.72,1686.17,2340.36,8.84,9,7.02,57.61,34.55,20.55,73.76,0,4.93,2152.19,2049.12,38.08,3.43,54.81,3.27,0.13,40.78,1,22,0.09,13.2,3.19,1.1,70.81,15.17,0,100,100,3.69,12.44,40.77
1100023001001,1438,5464,14365.00000029,55118.0000011699,25.8,72.83,14.55,1.08,3.84,67.99,22.74,40.8,765.17,1554.88,2.07,5.79,36.12,20.13,10.97,97.98,19.06,81.73,0.64,1.89,91.31,84.68,6.91,29.61,90.28,14.22,78.47,100,100,100,41.17,93.64,70.34,59.95,33.2,18.34,3.68,5.5,65.94,0.612,2124.22,3472.31,0.682,2342.43,3435.55,17.48,6.52,11.34,58.46,50.78,41.99,57.9,0,8.38,3124.5,2941.03,32.9,3.36,56.23,5.91,0.57,36.51,0.78,22,0.09,13.05,3,1,65.88,16.64,0.05,100,100,3.64,24.53,40.15
1100023001002,498,2021,5046.00000004,19385.00000006,34.3,68.06,2.41,0,3.84,64.29,9.4,40.39,573.88,1034.97,1.32,0.87,11.64,38.42,16.06,79.65,1.39,52.85,0,13.89,30.24,45.56,0.52,14.69,83.32,24.91,68.72,100,100,100,41.5,78.09,41.15,42.22,12.5,4.89,0.64,3.38,60.18,0.606,1403.13,2316.65,0.878,2002.25,2279.8,6.54,7.55,4.32,57.58,37.93,17.42,66.8,0,3.02,2242.3,2088.84,43.15,4.92,37.39,6.52,0.36,55.53,0.21,20,0.07,16.23,2.63,1.18,66.14,17,0,100,100,3.7,10.29,40.03
1100031001001,424,1678,1959.99999997,7517.99999980999,23.66,80.04,4.41,0,3.84,60.61,6.66,43.98,558.8,993.43,1.27,1.62,4.29,37.76,14.53,82.29,1.56,59.64,0,16.41,28.89,50.22,0,5.3,83.18,23.22,72.74,100,100,100,57.89,88.63,62.7,48.78,14.59,6.82,0.5,3.59,57.57,0.564,1272.72,2256.7,0.66,1500.32,2273.49,11.09,11.23,6.55,53.8,23.57,18.58,68.85,0,6.53,2158.89,1969.05,41.69,4.64,54.67,6.53,0.38,37.96,0.47,22,0.14,13.01,4.79,1.11,68.46,14.15,0.15,100,100,3.69,9.23,43.32
1100049001005,1536,5796,15026.0000002,55331.0000007598,23.15,71.21,15.13,1.15,3.68,63.92,19.95,41.66,693.25,1365.43,1.8,5.5,82.04,25.51,12.15,95.33,29.82,86.48,19.15,6.87,82.65,83.93,25.74,15.57,90.21,15.77,79.55,100,100,100,40.42,92.84,73.86,61.33,33.56,20.27,4.17,5.48,64.3,0.679,1905.53,2807.36,0.757,2088.3,2758.33,16.55,7.85,11.18,57.11,56.8,46.16,55.99,0,7.93,2602.42,2456.45,33.87,4.04,52.7,3.05,0.37,43.67,0.21,23,0.11,11.95,3.52,0.99,65.99,16.8,0.07,100,100,3.53,21.4,41.01
1100049001010,475,2098,4452.99999994,18236.99999964,26.48,66.89,1.24,0,4.1,68.7,7.12,41.7,459.1,795.19,0.99,0,13.15,45.57,16.69,76.82,10.33,56.46,0.18,28.47,5.75,38.38,1.69,13.23,83.11,23.68,72.07,100,100,100,45.19,79.88,37.57,44.44,6.48,2.13,0.1,2.92,55.14,0.383,973.07,2543.74,0.721,1768.86,2453.62,2.16,9.68,2.85,53.57,30.02,18.83,63.68,0,2.11,2411.63,2171.95,48.51,4.4,53.21,3.14,0.07,39.8,3.78,21,0.1,13.79,3.6,1.14,58.99,8.46,0,100,100,3.92,7.96,41.24
1100056001001,505,1965,4874.00000003,18207.00000003,21.64,78.88,7.53,0.29,3.74,64.58,17.13,43.2,573.88,1359.6,1.81,1.65,24.31,35.06,18.93,92.79,1.53,74.26,0,2.58,59,68.06,0.62,13.83,87.65,17.69,77.37,100,100,100,39.65,91.67,71.66,59.11,20.83,10.91,1.09,4.31,63.74,0.881,2411.57,2737.59,0.513,1756.57,3425.8,13.63,12.39,11.89,56.16,36.51,27.77,60.7,0,8.33,3046.99,2614.71,36.1,6.22,51.05,2.92,0.52,45.31,0.2,23,0.13,11.72,4.41,1.05,69.33,15.36,0.24,100,100,3.63,18.41,42.61
1100064001001,607,2329,5833.00000003001,21892.0000002,19.13,80.49,5.89,0.44,3.75,63.9,19,43.58,600.28,1040.02,1.37,3.13,48.17,33.21,10.84,92.6,2.09,73.24,1.01,6.05,41.48,63.11,0.95,19.04,86.8,20.5,77.6,100,100,100,52.32,90.02,73.73,58.92,22.8,13.28,1.96,4.45,58.28,0.537,1405.65,2618.14,0.696,1756.32,2524.38,15.94,11.95,10.61,52.09,40.01,31.94,62.47,0,6.8,2446.58,2204.22,40.66,3.36,52.82,6.21,0.44,40.29,0.24,23,0.14,11.37,4.53,1.04,64.05,8.36,0.03,100,100,3.65,20.36,43.15
1100072001001,552,2201,2641.00000009,10459.00000022,22.35,74.89,3.25,0,3.96,67.17,7.91,41.9,405.54,611.56,0.73,0.69,0,49.47,14.63,52.82,0.36,38.42,0,30.19,11.72,28.86,0,0.84,82.09,28.94,72.24,100,100,100,57.18,86.49,40.53,44.34,9.61,4.6,0.6,3.02,48.74,0.589,1021.33,1733.87,0.823,1428.85,1735.57,8.93,9.3,3.57,47,40.14,19.39,58.04,0,4.59,1730.13,1553.62,48.45,4.92,44.21,5.16,0,50.53,0.1,21,0.08,13.24,2.93,1.17,69.05,14.83,0,100,100,3.8,9.51,41.42
1100080001001,482,2052,2441.00000005,10208.00000012,37.57,77.65,5.74,0,4.18,70.43,17.25,41.57,459.1,937.6,1.19,1.83,27.54,46.45,14.24,70.66,18.2,41.31,0.2,13.07,31.33,39.18,9.55,11.43,84.48,19.72,68.62,100,100,100,39.98,89.66,63.02,37.19,22.34,11.52,2.26,4.53,59.78,0.682,1583.11,2321.01,0.875,1986.2,2271.16,13.96,7.24,7.08,55.55,33.67,27.55,61.71,0,7.98,2209.33,2095.31,42.43,4.23,29.6,2.9,0.06,64.82,2.62,19,0.09,17.43,3.49,1.15,55.75,20.98,3.24,100,100,3.94,17.55,40.63
1100098001001,689,2723,6773.99999992999,25687.9999998401,24.7,75.52,7.88,0,3.79,65.85,14.12,41.27,573.88,1081.69,1.4,1.75,19.54,38.19,12.72,78.81,2,72.02,0.52,20.95,49.23,59.65,1.04,15.27,85.1,20.83,74.76,100,100,100,50.04,83.44,46.35,62.13,15.06,8.03,1.29,3.8,56.81,0.562,1537.54,2733.42,0.635,1835.4,2892.04,8.76,7.3,5.83,53.49,37.22,27.74,65.06,0,5.76,2691.2,2367.28,40.34,3.7,51.6,3.52,0.07,43.88,0.94,22,0.11,13.01,3.7,1.07,66.31,11.43,0,100,100,3.74,14.29,41.02
