cod_ap,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10_parede_alv,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1b_micro_internet,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10b_sem_fund,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d11_sem_registro,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v6264_igual,e2z_v6264_naonulo,e3_estrangeiro,e4_trab_outro_mun,e5_desloc_mais_1h,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100015001001,744,2413,7442.99999999996,24391.9999999998,23.07,14.81,73.74,10.9,0.14,3.31,51.98,26.92,45.02,865.8,1173.63,1.08,17.23,21.14,25.05,34.27,15.22,94.43,2.41,88.2,0,5.54,57.13,86.37,1.16,12.27,88.06,70.65,86.73,100,100,92.41,47.25,95.68,79.6,64.72,29.41,19.27,5.52,56.44,0.546,1460.78,2676.58,0.703,1793.65,2551.87,13.21,23.31,5.28,53.46,49.92,41.85,2410.1,2115.45,33.39,5.76,0,43.39,4.49,0.39,49.7,2.04,27,0.23,9.12,6.02,1.08,64.29,8.72,2.17,10.69,0,3.01,6.34,3.17,29.02,44.23
1100023003001,497,1555,5259.99999999999,16632,67.13,9.01,61.15,29.71,12.3,3.16,48.64,38.06,44.63,1736.34,2704.59,2.22,43.66,55.52,50.16,9.8,14.1,100,20.85,86.71,0.46,0.6,99.69,98.8,10.99,43.09,96.9,35.43,96.24,100,100,92.74,14.86,98.73,89.09,75.29,65.6,52.42,20.38,68.36,0.661,3387.57,5127.4,0.714,3607.54,5051.44,30.15,11.77,3.22,66.16,76.24,68.21,4455.13,4310.59,26.4,5.57,1.38,48.69,4.96,1.17,45.18,0,28,0.21,8.84,4.88,0.93,61.03,12.09,3.47,15.02,0.39,8.23,2.49,2.95,40.57,43.67
1100023003002,511,1763,5178.00000000002,17183.0000000001,27.06,20.4,65.93,16.54,2.98,3.33,55.16,23.8,42.32,1111.82,1629.41,1.34,13.05,19.59,29.94,29.31,17.45,96.34,3.93,82.69,0,1.47,62,87.45,1.5,16.18,91,65.81,90.44,100,100,91.61,39.35,95.95,65.53,55.76,34.19,22.44,4.98,63.88,0.641,2005.77,3130.76,0.645,2246.41,3483.55,11.54,16.2,2.82,62.07,69.12,45.88,2675.77,2675.86,30.14,6.58,0.45,31.92,9.07,2.75,56.18,0.08,25,0.15,9.94,4.55,1.09,56.26,11.01,3.14,14.1,0.09,3.04,1.2,3.18,26.32,41.6
1100023003003,787,2679,8490.99999999997,28008.9999999999,35.9,20.87,64.23,16.6,5.47,3.38,55.56,27.2,42.14,946.23,1388.33,1.05,13.08,20.22,24.68,28.48,15.49,97.06,2.24,89.88,0.18,1.69,74.51,92.04,1.22,32.15,89,65.27,87.67,100,100,91.57,41.84,96.12,76.18,57.88,34.81,21.12,2.72,65.73,0.727,1616.52,2223.16,0.79,1793.74,2269.42,10.69,17.83,4.58,62.72,57.2,41.63,2162.63,1963.38,28.43,5.97,0.18,29.98,10.75,2.51,56.55,0.21,25,0.15,10.72,4.44,1.07,54.74,10.33,3.22,13.42,0.04,5,2.27,3.2,28.56,41.42
1100023003004,831,2737,8724.99999999989,28528.9999999995,55.11,19.71,65.29,27.2,9.94,3.3,53.63,39.72,41.94,1206.45,2103.56,1.57,25.85,34.77,34.67,18.47,14.19,100,9.14,87.29,1.68,0.45,99.27,98.96,4.76,38.31,92.66,49.62,91.68,100,100,91.83,41.99,98.46,76.47,62.56,50.6,34.7,7.49,66.74,0.905,2753.16,3043.01,0.729,2265.45,3108.79,18.79,15.72,7.06,62.03,67.49,57.54,3194.87,2913.64,26.42,5.18,0.3,35.21,8.47,1.91,54.33,0.08,25,0.15,9.53,4.12,0.97,57.88,13.39,4.05,17.24,0.07,5.66,1.87,3.03,41.98,40.58
1100031001001,658,2124,1979.00000000001,6313.00000000002,23.74,12.47,76.29,7.73,0,3.19,50.64,16.42,47.34,993.54,1352.4,1.03,12.23,19.18,23.66,31.03,14.79,97.17,20.52,95.19,0,1.08,49.66,94.45,0.84,9.29,86.11,70.28,85.11,100,100,91.84,52.53,98.03,81.87,70.29,29.82,20.54,4.94,58.65,0.678,1516.82,2236.29,0.629,1502.37,2388.57,12.53,25.7,2.86,56.97,48.42,39.3,2179.52,1933.2,29.8,5.16,0,46.22,7.37,1.59,44.78,0.04,29,0.25,10.24,6.47,1.07,66.15,11.03,3.03,13.97,0.05,3.57,3.04,3.06,17.55,46.53
1100049003001,414,1430,4189,14571,24.07,14.78,75.74,2.26,0,3.48,53.09,17.07,45.86,704.94,987.96,0.76,4.2,7.19,17.34,44,17.43,97.49,8.42,92.28,0.66,7.16,15.24,79.73,1.85,31.76,85.61,84.14,85.71,100,100,91.77,43.49,95.84,66.03,63.16,15.86,5.52,0.86,55.14,0.61,1234.89,2023.58,0.82,1524.12,1858.15,3.94,30.29,2.48,53.78,40.35,19.72,1782.71,1676.45,41.84,6.46,0.21,45.7,5.19,0.35,40.18,8.58,27,0.25,10.16,6.84,1.1,50.41,5.73,1.58,7.31,0,1.2,2.09,3.22,19.36,45.51
1100049003002,614,2013,6246.99999999996,20355.9999999998,46.35,17.63,64.82,20.95,4.6,3.27,52.38,34.03,42.08,1076.34,1303.5,1.1,16.55,24.86,78.26,27.4,21.78,99.01,43.53,97.39,22.62,3.24,82.94,94.98,41.83,27.56,90.69,65.34,89.71,100,100,92.29,47.15,96.46,81.85,66.88,34.74,18.04,3.39,62.12,0.627,1599.45,2552.75,0.609,1709.72,2805.87,9.88,23.89,6.36,58.17,68.88,53.34,2328.91,2124.24,28.15,8.67,0,38.14,6.37,1.02,53.85,0.63,26,0.2,9.7,5.34,1.01,56.13,12.95,2.35,15.18,0.1,4.43,4.14,3.12,35.61,41.65
1100049003003,657,2036,6763.00000000022,20650.0000000008,61.97,11.27,60.54,32.02,12.03,3.09,46.41,38.01,43.31,1490.32,2563,2.58,43.69,52.52,94.97,11.84,15.08,99.82,70.03,99.84,53.32,1.79,99.65,99.39,65.42,42.6,94.66,41.31,94.15,100,100,93.05,34.47,99.37,88.15,77.07,58.69,44.04,15.63,68.1,0.428,2584.14,6031.64,0.475,2934.41,6177.44,28.42,16.24,7.83,62.77,70.65,66.81,4760.4,4390.69,24.67,6.16,0,44.9,6.76,1.9,46.15,0.29,28,0.23,8.47,5.11,0.93,63.7,14.2,2.58,16.48,0.09,4.15,2.06,2.94,40.29,42.7
1100049003004,718,2266,7213.99999999999,22997,42.71,11.6,64.44,23.7,2.92,3.19,48.81,32.48,43.14,1360.21,2151.68,1.68,32.86,40.9,89.47,15,14.89,99.42,76.03,98.63,71.29,0.9,93.44,98.44,73.19,39.27,93.36,49.32,92.46,100,100,92.52,30.88,98.69,84.39,74.01,50.76,36.01,11.74,70.77,0.663,2417.36,3644.38,0.668,2504.02,3748.91,22.98,18.55,5.63,66.79,65.34,62.08,3008.03,3060.54,22.19,5.63,0,39.75,4.72,1.62,53.78,0.12,27,0.21,8.92,5.12,0.97,58.47,8.83,4.56,13.34,0,4.93,2.12,3.01,35.25,42.5
