cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a15_moradores,a15z_v005_familia,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a2_agua_rede,a22_energia,a23_esgoto_adeq,a24_duravel,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a4_esgoto_rede,a5_esgoto_inadeq,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_v036_igual_0,b4_freq_15a17,b8_superior_comp,c1_participacao,c13_beneficio,c2_desocupacao,c2z_v047_naonulo,c3_ocupacao,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,d7z_filhos_no_sexo_0,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,f1_tamanho_familia
1100106,1488,6978,5690,27016,55.71,44.29,8.7,4.62,4.57,68.25,8.42,39.76,8.79,20.53,2.9,24.39,16.82,42.3,8.4,0.56,1.32,13.34,23.34,0,40.46,56.64,60.06,58.09,53.05,100,100,82.47,61.76,57.31,0,51.86,0.71,45.27,0.5,0.79,30.11,44.91,0.03,21.38,1.52,1.11,0,38.87,8.12,4.07,1.25,4.51
1100205,4146,22863,14782,84048,65.86,62.05,12.32,5.4,5.14,74.95,10.24,40.1,19.82,27.07,8.3,46.93,28.49,53.07,16.87,0.75,3.89,16.67,38.22,0,52.92,38.78,66.65,52.3,57.67,100,100,81.97,54.62,57.73,0,47.72,1.07,45.77,0.61,2.36,30.66,44.69,0.03,21.53,1.45,1.14,0,48.85,24.64,0.77,0.8,5.07
1200104,563,3475,2075,12311,76.87,87.61,2.02,6.05,6.04,80.3,7.65,41.14,0,5.35,0.43,40.87,12.58,35.95,4.58,0,0.48,1.93,78.31,0,93.93,5.64,50.35,64.31,40.69,100,100,80.72,54.28,34.88,0,33.73,0.51,46.06,0.12,0.31,29.09,45.92,0.04,23.68,2.18,1.08,0,14.04,3.35,1.65,0,5.86
1200203,1905,11860,7049,43584,75.71,85,3.69,6.16,5.99,81.53,8.72,40.49,0.23,4.38,0.68,38.73,15.15,23.85,2.67,0,0.55,0.84,94.65,0,25.11,74.21,45.2,57.66,36.24,100,100,80.43,59.55,43.93,0.03,34.25,0.28,43.27,0.1,0.55,27.32,43.03,0.03,23.22,1.74,1.05,0,6.23,2.19,0.1,0.06,5.86
1200302,707,4142,2507,15768,72.84,72.84,0.68,5.96,5.97,79.27,8.44,40.1,0.64,7.7,0.52,27.64,13.4,20.26,2.71,0,0.12,0.96,82.13,0,62.03,37.46,35.59,71.8,28.14,100,100,79.1,69.15,21.36,0,28.32,0.17,45.38,0.16,0.27,28.54,45.26,0.04,24.21,2.03,1.1,0,13.43,3.44,0,0,5.92
1200401,3824,22407,14339,83977,70.11,64.85,10.72,5.79,5.57,77.81,12.44,41.2,6.23,26.58,1.97,64.53,45.96,62.49,11.63,0.05,2.51,4.72,44.44,0,46.82,51.22,56.88,53.49,46.53,100,100,82.08,54.7,45.21,0,45.35,1.27,49.43,0.5,2.22,32.3,48.34,0.04,21.61,1.74,1.1,0,24.36,6.39,0.34,0,5.47
1200500,1060,6819,3773,22470,86.67,85.4,3.39,6.31,6.14,83.98,7.84,40.57,0.69,6.89,0.53,29.15,15.53,36.68,2.86,0.21,0.19,2.44,79.49,0,14.76,84.71,39.91,72.9,30.24,100,100,80.81,65.58,26.37,0,25.6,0.13,47.67,0.25,0.54,31.04,47.41,0.03,22.73,1.42,1.13,0,10.51,2.14,0.24,0.04,5.98
1200609,1002,6845,3738,23862,87.99,59.71,2.3,6.82,6.66,88.51,8.57,40.67,2.43,4.76,0.67,26.97,15.68,18.54,1.39,0,0.21,5.83,84.56,0,37.69,61.64,29.4,80.03,20.13,100,100,81.18,62.56,19.52,0,24.3,0.06,43.8,0.08,0.49,27.57,43.59,0.03,22.81,1.42,1.09,0,7.46,1.28,0.01,0.05,6.66
1200708,625,3785,2309,13327,78.95,53.23,4.37,6,5.95,81.94,8.98,41.73,1.95,11.3,0,45.34,16.07,35.47,4.63,0.17,1.26,0.61,88.78,0,7.88,92.12,44.36,59.16,36.29,100,100,79.25,67.84,30.04,0,34.13,0.09,46.02,0.08,0.8,29.08,45.65,0.04,24.21,2.1,1.1,0,12.41,2.09,0.05,0.14,5.76
1300102,536,3433,1886,12212,87.8,97.83,0.37,6.41,6.22,86.85,6.63,41.98,8.91,4.98,0,9.28,28.79,29.27,2.07,0,0,0,69.25,0,57.9,42.1,59.62,54.68,47.69,100,100,80.18,54.93,51.34,0,36.08,0.15,51.73,0,0.2,32.48,51.62,0.04,23.21,1.99,1.12,0,4.05,1.78,0,0.45,6.02
