cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a2_agua_rede,a20_rdpc_baixa,a22_energia,a23_esgoto_adeq,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a31_telefone,a32_comodos,a33_dormitorios,a4_esgoto_rede,a5_esgoto_inadeq,a7_banheiro_excl,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100023,2743,12874,10117,53365,2.26,56.44,69.17,7.68,0.07,5.05,77.29,3.26,38.19,537.96,1002.15,0.93,8.04,50.01,14.86,6.62,37.38,47.18,11.56,9.19,11.5,13.74,75.16,2.37,3.97,1.91,0,39.19,38.8,55.98,62.71,50.29,52.6,99.02,96.28,97.44,68.55,42.43,22.56,5.84,3.14,0.93,52.8,0.751,2433.99,3241.31,0.715,2652.21,3708.44,0.85,0.2,52.7,17.93,3124.82,3139.46,52.92,48.5,3.28,0.43,47.8,16,0.02,20.86,1.11,1.19,82.17,72.38,0.22,4.78,4.12,37.91
1100049,3416,15515,12776,67030,4.19,60.65,61.87,7.63,0.1,5.17,79.1,3.65,38.66,391.24,702.46,0.65,12.45,67.48,6.74,4.66,21.96,45.82,6.39,5.92,6.66,5.34,86.43,1.2,3.88,1.89,0,27.88,28.88,68.46,63.91,51.77,54.19,98.87,96.52,97.53,68.53,47.47,18.02,3.63,1.85,0.55,50.15,0.694,1583.61,2280.58,0.699,2053.93,2938.62,0.89,0.3,50,13.51,2195.92,2207.43,54.99,13.9,1.75,0.07,84.27,16,0.03,20.7,1.48,1.13,86.47,64.7,0.16,4.9,4.15,38.44
1100106,1702,8257,6634,34751,19.52,60.21,65.44,18.01,0.68,5.1,74.59,10.26,41.73,608.6,1102.39,1.02,25.05,46.79,49.64,19.87,61.12,64.07,36.28,33.1,8.81,24.69,41.69,7.25,4.04,1.78,8.85,54.96,64.63,25.71,74.49,36.79,64.6,99.38,97.22,98.19,53.07,62.11,57.01,10.44,6.52,1.31,44.01,0.586,1822.68,3110.4,0.701,2626.2,3748.91,2.41,1.22,43.47,45.11,2863.71,2823.86,47.36,17.31,6.15,0.12,76.42,16,0.05,20.43,2.47,1.09,30.98,10.13,2.93,4.86,12.02,41.01
1100122,6005,29259,23005,121714,5.14,57.68,63.53,10.09,0.23,5.24,78.92,5.27,39.41,417.32,848.7,0.78,6.83,61.12,13.78,9.71,35.03,61.26,11.1,10.88,7.72,10.42,77.19,2.52,4.25,2.01,0,32.2,36,59.1,64.44,54.2,53.08,99.2,96.44,97.64,66.68,41.77,24.73,3.96,2.02,0.68,51.87,0.634,1790.54,2825.32,0.818,2499.05,3056.49,0.77,1.04,51.33,18.16,2658.98,2684.29,55.81,33.58,4.37,0.16,61.9,16,0.03,20.88,1.56,1.12,79.36,45.3,0.18,4.99,6.09,38.97
1100189,1414,6665,5780,29993,5.37,57.19,67.45,9.91,0.5,5.11,79.38,4.89,38.82,434.71,840.94,0.78,0.24,59.12,14.26,8.53,37.58,51.5,10.81,9.4,11.01,7.46,78.48,2.68,4.21,1.98,0,48.59,51.77,44.36,68.53,44.49,57.51,98.43,95.68,97.05,57.09,48.61,21.63,4.02,2,0.5,51.91,0.524,1330.79,2538.32,0.814,2130.18,2617.36,0.89,0.64,51.58,15.63,2394.52,2401.44,52.29,53.86,2.08,0.09,43.96,16,0.03,19.97,1.51,1.15,84.1,56.88,0.08,4.85,5.24,38.47
1100205,6789,32585,26023,133882,18.95,60.1,61.37,24.85,4.42,4.91,75.91,12.52,39.03,782.48,1587.21,1.47,36.76,34.04,69.74,27.99,78.09,70.1,55.62,56.19,14.23,33.35,14.08,13.03,3.94,1.75,6.64,57.93,63.79,14.3,76.97,35.3,65.84,99.2,96.48,97.94,51.03,65.84,61.48,15.24,8.77,2.96,51.92,0.617,2336.9,3788.07,0.565,2753.52,4876.75,1.54,1.14,51.32,58.93,3351.76,3413.51,38.79,31.55,3.33,0.19,64.93,17,0.04,20.49,1.74,1.09,43.75,20.73,0.3,4.38,14.32,38.39
1100304,2423,11381,9495,50290,1.35,59.84,68.2,11.52,0.07,5.2,80.25,2.72,38.13,426.81,826.87,0.76,20.63,58.46,15.16,3.09,41.65,54.64,11.18,11.95,11.69,18.66,79.58,2.63,4.07,1.93,0,39.88,37.88,57.72,66.03,43.63,54.41,99.61,98.68,99.13,67.89,44.97,24.93,5.93,3.07,0.78,53.58,0.626,1575.45,2517.12,0.664,1872.11,2819.09,0.85,0.73,53.19,16.36,2389.41,2402.14,51.92,54.51,4.32,0.06,41.11,16,0.03,20.5,1.22,1.13,88.37,79.25,0.09,4.92,3.87,37.78
1200054,65,325,242,1367,0,77.25,95.44,0,0,5.62,77.69,5.2,41.22,347.77,426.43,0.39,0,77.27,12.81,0,26.45,20.43,4.8,1.65,2.48,2.89,85.95,0.87,3.52,1.65,0,80.17,75.74,20.43,47.21,59.85,39.85,99.71,95.74,96.93,81.43,29.49,21.05,4.38,0,0,49.03,0.645,875.67,1358.61,0.885,1237.28,1398.5,0.86,0.88,48.6,4.83,1311.75,1311.28,46.71,36.06,9.89,3.27,50.78,15,0.04,21.43,2.05,1.15,14.12,3.38,1.61,4.76,9.15,40.89
1200104,653,3005,2558,13907,2.12,73.49,79.55,5.38,0,5.23,81.67,8.44,40.86,372.61,610.7,0.57,20.25,67.87,23.53,1.02,37.33,50.75,14.31,13.66,4.21,20.76,68.29,4.67,3.16,1.52,0,74.73,68.98,24.9,61.08,55.12,47.93,98.98,98.27,98.63,70.27,45.85,41.75,4.8,1.65,0.54,44.08,0.674,1209.88,1794.45,0.835,1625.55,1946.89,3.14,0,44.08,16.85,1751.63,1693.88,48.29,24.2,3.05,0.75,71.99,15,0.06,20.73,2.85,1.12,17.57,8.32,0.76,5.03,10.08,40.58
1200203,2311,11713,8830,50472,4.56,70.47,91.18,5.41,0.33,5.64,82.15,9.94,40.64,270.61,503.52,0.47,11.18,74.99,25.16,1.44,23.04,60.47,17.95,18.37,4.17,8.92,66.96,3.11,3.91,1.67,0,64.01,56.28,35.3,49.01,61.46,37.51,99.06,97.58,98.29,65.23,35.78,35.84,5.59,2.75,0.76,41.47,0.591,1051.82,1780.63,0.634,1449.53,2287.06,4.44,0.6,41.22,19.3,1713.6,1641.02,51.26,22.68,4.94,0.39,71.98,14,0.05,24.21,2.73,1.05,6.7,2.25,0.11,5.34,11.62,40.14
