cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a19z_v2012_naonulo,a2_agua_rede,a20_rdpc_baixa,a21b_com_defic_1991,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_grau_ambos_nulos,b3z_v0324_naonulo,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,b9z_estudo_acima17,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c8z_faixa_sm,c8z_valor_sm,c9_sem_rendimento,c9z_rend_naonulo_14mais,d10c_deficiencia_1991,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v0318_naonulo,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100015,717,3239,7094.99999274,31979.99996722,5.33,29.81,6.12,0.12,4.51,77.92,4.55,39.04,222.93,476.19,0.51,92.74,0,68.1,3.57,31.58,3.5,19.54,0,42.94,2.09,54.43,0,20.24,78.06,32.14,72.97,100,100,85.84,61.47,64.82,0,100,25.51,10.1,4.34,0.38,2.85,0.33,59.46,1.409,1946.69,1381.72,0.589,1046.66,1775.81,3.06,1.7,58.45,32.6,14.62,4.25,1472,1476.49,1.61,1.58,49.77,96.69,0.89,61.12,3.76,0,34.98,0.14,18,0.04,16.69,1.77,1.14,83.33,36.24,97.14,0.07,4.39,5.32,38.72
1100023,1962,8453,19177.1979888601,83098.8928149301,18.16,28.47,10.62,0.44,4.34,75.22,8.77,39.14,423.57,790.24,0.84,94.22,36.17,50.33,3.47,59.85,7.27,43.76,0,21.99,44.3,71.81,4.86,29.23,81.36,27.71,76.43,100,100,86.45,49.67,65.98,0,100,35.13,15.5,9.06,1.7,3.6,0.95,64.77,0.693,1326.34,1913.65,0.724,1522.22,2103.36,3.5,2.61,63.08,36.51,21.32,5.06,1757.67,1771.55,2.2,1.89,41.51,97.59,0.82,38.15,4.39,0.4,56.89,0.16,19,0.04,16.3,1.79,1.12,75.89,24.8,88.55,0.16,4.17,10.41,38.74
1100031,365,1610,1816.99999632,8173.99998329,5.42,25.61,5.48,0,4.5,71.56,6.29,41.5,222.93,417.07,0.45,77.49,7.12,55.4,4.28,25.67,10.99,12.24,0,35.5,12.89,62.52,3.99,17.41,78.67,33.3,72.76,100,100,86.49,56.15,70.2,0,100,44.54,8.64,4.23,0,2.58,0.33,53.58,0.909,1090.39,1199.87,0.683,898.68,1316.67,4.45,2.91,52.02,42.79,18.32,2.05,1230.36,1180.23,1.54,1.26,53.44,90.47,0.94,60.56,2.54,0.04,36.8,0.06,18,0.06,16.06,2.62,1.14,77.59,30.73,90.5,0.04,4.41,7.03,40.99
1100049,1899,9082,18012.9999809,79035.34532697,23.8,23.91,12.63,0.65,4.39,73.79,9.68,40.31,371.55,921.01,0.98,93.16,40.74,53.15,3.14,54.71,41.82,50.58,0,21.82,38.68,73.77,29.79,28.06,78.32,30.13,74.9,100,100,86.65,58.09,70.96,0,100,44.02,14.91,8.59,1.48,3.46,0.41,58.69,0.594,1444.76,2433.03,0.583,1567.15,2687.39,4.32,2.5,57.22,51.35,25.32,5.21,2202.45,2183.66,2.33,2.33,45.25,96.92,0.83,51.78,3.88,0.31,43.59,0.44,19,0.06,16.14,2.52,1.06,72.08,22.96,84.49,0.15,4.21,11.19,39.81
1100056,518,2353,4982.99999485,21607.9999765301,13.31,21.57,7.61,0.33,4.34,75.21,10.02,40.59,326.04,663.13,0.71,96.72,27.88,60.99,4.61,54.48,28.39,43.71,0,11.88,22.71,87.86,17.97,16.84,79.28,30.36,76.28,100,100,86.71,59.34,73.73,0,100,47.14,11.1,7.04,0.87,3.2,0.63,56.35,0.564,993.67,1763.08,0.542,1093.5,2018.91,5.9,2.86,54.74,33.86,24.03,5.08,1565.92,1565.24,1.97,1.67,42.78,98.22,1.06,52.04,2.26,0.12,45.45,0.13,19,0.07,15.98,2.76,1.08,78.55,23.15,91.23,0.27,4.21,11.17,40.29
1100064,849,3787,8491.99999151999,38992.99996231,8.22,26.69,4.86,0,4.59,77.36,7.96,40.94,234.08,540.03,0.58,94.67,26.51,66.27,2.77,35.77,10.92,29.38,0,36.39,8.18,63.84,8.41,17.13,74.08,37.7,71.7,100,100,86.51,64.39,67.28,0,100,32.48,10.26,5.97,1.31,2.75,0.78,54.9,0.764,1081.7,1415.19,0.506,982.99,1942.52,4.59,2.97,53.27,40.45,19.77,4.39,1373.34,1349.31,1.7,1.44,47.43,97.84,0.62,36.1,1.61,0.21,62.08,0,18,0.05,16.27,2.06,1.11,73.56,20.19,85.53,0.06,4.45,9.01,40.55
1100080,227,977,2295.99999769,10375.99999001,12.43,41.13,4.93,0,4.52,74,10.25,41.06,334.39,858.33,0.92,79.63,37.04,48.66,1.35,55.09,18.71,25.52,0,33.15,19.68,65.94,15.25,13.29,76.9,28.15,71.91,100,100,84.43,61.13,68.31,0,100,35.87,19.36,11.75,1.62,3.75,0,55.21,0.68,1509.14,2219.09,0.529,1544.17,2917.39,4.31,5.77,52.03,55.09,33.45,1.62,2042.96,2046.65,2.36,2.19,47.1,90.97,0.3,39.56,1.8,0,58.18,0.46,17,0.05,18.05,2.4,1.12,59.51,33.91,71.24,2.52,4.39,11.2,40.74
1100098,567,2691,5269.99999422,23155.99997229,12.23,27.37,7.53,0.18,4.39,73.52,7.26,39.26,371.55,755.03,0.81,98.58,20.66,57.57,3.56,50.3,35.04,41.72,0,30.55,29.22,65.37,14.73,21.38,79.86,29.05,76.61,100,100,86.6,55.8,67.33,0,100,32.13,14.11,7.24,0.9,3.28,0.29,59.51,0.704,1346.82,1914.04,0.743,1513.95,2038.57,3.19,1.35,58.71,34.73,17.47,5.75,1688.63,1791.03,2.07,1.91,43.96,99.3,0.8,51.62,2.56,0.06,44.77,1,19,0.05,15.68,2.21,1.09,74.85,28.15,86.84,0,4.2,9.06,38.66
1100106,712,3045,7468.99999279,32582.9999690499,34.57,36.18,16.96,0,4.36,72.33,19.56,41.59,535.03,1101.32,1.18,97.05,46.84,41.02,3.94,78.74,42.39,50.67,0.36,10.62,71.49,82.41,30.57,18.45,84.11,24.28,79.86,100,100,85.95,46.27,80.21,0,100,68.8,30.93,21.64,3.27,5.01,0.53,56.64,0.827,2279.31,2757.2,0.769,2361.59,3069.14,7.05,4.95,53.83,56.78,38.79,6.15,2432.32,2598.44,3.13,2.78,41.46,98.67,0.97,33.5,2.87,0.16,60.14,3.34,18,0.09,17.05,3.64,1.01,32.37,14.17,41.19,3.53,4.03,23.8,40.16
1100114,1372,6345,13852.99998626,63534.9999363498,11.26,25.37,8.47,0,4.59,73.85,8.74,40.39,371.55,689.81,0.74,85,10.41,47.91,4.54,44.2,7.95,26.97,0,38.24,20.31,61.39,3.6,21.14,74.93,37.88,70.51,100,100,86.44,66,65.01,0,100,34.2,10.65,5.3,0.74,2.68,0.8,56.66,0.733,1262.77,1722.87,0.858,1546.26,1801.12,3.84,4.03,54.38,43.07,21.87,4.17,1628.73,1628.33,1.99,1.74,45.28,93.21,1.11,33.38,7.03,0.19,59.36,0.05,18,0.06,16.3,2.36,1.1,72.53,24.05,85.15,0.07,4.44,9.8,39.93
