cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c5z_v0450_naonulo,c5z_v0450_naonulo_carteira,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,e4z_v4276_naonulo,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100015,708,2720,6859.99999998001,26532.99999972,28.52,77.18,6.23,0,3.87,67.75,10.86,41.36,557.81,961.58,1.22,2.22,8.22,38.86,11.9,71.19,1.09,59.05,0,14.84,34.86,46.05,0.32,5.53,85.08,22.15,74.45,100,100,100,53.28,86.78,51.4,52.26,15.66,7.99,1.15,3.8,61.96,0.518,1234.5,2385.07,0.72,1686.17,2340.36,8.84,9,7.02,57.61,34.55,20.55,73.76,0,4.93,2152.19,2049.12,38.08,3.43,54.81,3.27,0.13,40.78,1,22,0.09,13.2,3.19,1.1,70.81,15.17,0,100,100,3.69,12.44,40.77
1100023,1936,7485,19411.00000033,74503.00000123,27.82,71.69,11.65,0.82,3.84,67.03,19.25,40.69,693.25,1419.09,1.88,4.62,30.28,24.9,12.3,93.61,15.24,74.84,0.5,4.75,76.74,75.35,5.53,26.05,88.55,16.89,75.93,100,100,100,41.26,89.44,63.14,56.02,28.03,14.98,2.92,4.97,64.51,0.635,2014.79,3172.53,0.686,2239.32,3262.07,14.74,6.78,9.71,58.25,48.83,35.84,60.13,0,6.98,2930.44,2753.2,35.44,3.77,51.35,6.06,0.51,41.44,0.63,22,0.08,13.88,2.91,1.04,65.94,16.74,0.04,100,100,3.65,20.87,40.12
1100031,424,1678,1959.99999997,7517.99999980999,23.66,80.04,4.41,0,3.84,60.61,6.66,43.98,558.8,993.43,1.27,1.62,4.29,37.76,14.53,82.29,1.56,59.64,0,16.41,28.89,50.22,0,5.3,83.18,23.22,72.74,100,100,100,57.89,88.63,62.7,48.78,14.59,6.82,0.5,3.59,57.57,0.564,1272.72,2256.7,0.66,1500.32,2273.49,11.09,11.23,6.55,53.8,23.57,18.58,68.85,0,6.53,2158.89,1969.05,41.69,4.64,54.67,6.53,0.38,37.96,0.47,22,0.14,13.01,4.79,1.11,68.46,14.15,0.15,100,100,3.69,9.23,43.32
1100049,2011,7894,19479.00000014,73568.0000003997,23.92,70.22,11.94,0.89,3.78,65.02,17.01,41.67,688.66,1234.46,1.62,4.24,66.24,30.12,13.19,91.09,25.89,79.59,15.32,11.82,65,73.48,20.88,15.04,88.51,17.65,77.7,100,100,100,41.58,89.46,64.24,57.45,27.15,15.97,3.21,4.88,62.09,0.65,1783.5,2745.09,0.754,2030.22,2693.89,13.18,8.29,9.4,56.26,53.88,39.75,57.79,0,6.35,2566.8,2400,37.4,4.13,52.83,3.07,0.29,42.71,1.1,23,0.11,12.41,3.54,1.02,64.25,14.75,0.05,100,100,3.62,18.33,41.07
1100056,505,1965,4874.00000003,18207.00000003,21.64,78.88,7.53,0.29,3.74,64.58,17.13,43.2,573.88,1359.6,1.81,1.65,24.31,35.06,18.93,92.79,1.53,74.26,0,2.58,59,68.06,0.62,13.83,87.65,17.69,77.37,100,100,100,39.65,91.67,71.66,59.11,20.83,10.91,1.09,4.31,63.74,0.881,2411.57,2737.59,0.513,1756.57,3425.8,13.63,12.39,11.89,56.16,36.51,27.77,60.7,0,8.33,3046.99,2614.71,36.1,6.22,51.05,2.92,0.52,45.31,0.2,23,0.13,11.72,4.41,1.05,69.33,15.36,0.24,100,100,3.63,18.41,42.61
1100064,607,2329,5833.00000003001,21892.0000002,19.13,80.49,5.89,0.44,3.75,63.9,19,43.58,600.28,1040.02,1.37,3.13,48.17,33.21,10.84,92.6,2.09,73.24,1.01,6.05,41.48,63.11,0.95,19.04,86.8,20.5,77.6,100,100,100,52.32,90.02,73.73,58.92,22.8,13.28,1.96,4.45,58.28,0.537,1405.65,2618.14,0.696,1756.32,2524.38,15.94,11.95,10.61,52.09,40.01,31.94,62.47,0,6.8,2446.58,2204.22,40.66,3.36,52.82,6.21,0.44,40.29,0.24,23,0.14,11.37,4.53,1.04,64.05,8.36,0.03,100,100,3.65,20.36,43.15
1100072,552,2201,2641.00000009,10459.00000022,22.35,74.89,3.25,0,3.96,67.17,7.91,41.9,405.54,611.56,0.73,0.69,0,49.47,14.63,52.82,0.36,38.42,0,30.19,11.72,28.86,0,0.84,82.09,28.94,72.24,100,100,100,57.18,86.49,40.53,44.34,9.61,4.6,0.6,3.02,48.74,0.589,1021.33,1733.87,0.823,1428.85,1735.57,8.93,9.3,3.57,47,40.14,19.39,58.04,0,4.59,1730.13,1553.62,48.45,4.92,44.21,5.16,0,50.53,0.1,21,0.08,13.24,2.93,1.17,69.05,14.83,0,100,100,3.8,9.51,41.42
1100080,482,2052,2441.00000005,10208.00000012,37.57,77.65,5.74,0,4.18,70.43,17.25,41.57,459.1,937.6,1.19,1.83,27.54,46.45,14.24,70.66,18.2,41.31,0.2,13.07,31.33,39.18,9.55,11.43,84.48,19.72,68.62,100,100,100,39.98,89.66,63.02,37.19,22.34,11.52,2.26,4.53,59.78,0.682,1583.11,2321.01,0.875,1986.2,2271.16,13.96,7.24,7.08,55.55,33.67,27.55,61.71,0,7.98,2209.33,2095.31,42.43,4.23,29.6,2.9,0.06,64.82,2.62,19,0.09,17.43,3.49,1.15,55.75,20.98,3.24,100,100,3.94,17.55,40.63
1100098,689,2723,6773.99999992999,25687.9999998401,24.7,75.52,7.88,0,3.79,65.85,14.12,41.27,573.88,1081.69,1.4,1.75,19.54,38.19,12.72,78.81,2,72.02,0.52,20.95,49.23,59.65,1.04,15.27,85.1,20.83,74.76,100,100,100,50.04,83.44,46.35,62.13,15.06,8.03,1.29,3.8,56.81,0.562,1537.54,2733.42,0.635,1835.4,2892.04,8.76,7.3,5.83,53.49,37.22,27.74,65.06,0,5.76,2691.2,2367.28,40.34,3.7,51.6,3.52,0.07,43.88,0.94,22,0.11,13.01,3.7,1.07,66.31,11.43,0,100,100,3.74,14.29,41.02
1100106,941,3662,9324.99999996,38044.9999999599,37.74,71.72,12.02,0.33,4.08,69.73,29.12,42.52,611.76,1229.18,1.62,4.63,38.84,36.62,15.55,90,12.25,51.79,9.61,6.05,67.96,53.9,7.31,19.53,89.44,16.63,74.94,100,100,100,36.89,91.19,73.09,50.63,38.23,21.12,3.91,5.79,62.14,0.793,2080.7,2624.49,0.755,2212.13,2931.46,18.97,7.59,15.08,52.77,45.17,34.92,57.72,0,9.41,2406.93,2393.35,39.22,4.38,28.28,5.7,0.56,58.71,6.75,20,0.12,14.68,4.25,1,31.2,9.52,2.44,100,100,3.67,32.47,40.82
