cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10_parede_alv,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1b_micro_internet,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10b_sem_fund,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d11_sem_registro,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v6264_igual,e2z_v6264_naonulo,e3_estrangeiro,e4_trab_outro_mun,e5_desloc_mais_1h,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100015,744,2413,7442.99999999996,24391.9999999998,23.07,14.81,73.74,10.9,0.14,3.31,51.98,26.92,45.02,865.8,1173.63,1.08,17.23,21.14,25.05,34.27,15.22,94.43,2.41,88.2,0,5.54,57.13,86.37,1.16,12.27,88.06,70.65,86.73,100,100,92.41,47.25,95.68,79.6,64.72,29.41,19.27,5.52,56.44,0.546,1460.78,2676.58,0.703,1793.65,2551.87,13.21,23.31,5.28,53.46,49.92,41.85,2410.1,2115.45,33.39,5.76,0,43.39,4.49,0.39,49.7,2.04,27,0.23,9.12,6.02,1.08,64.29,8.72,2.17,10.69,0,3.01,6.34,3.17,29.02,44.23
1100023,2626,8734,27653.9999999999,90352.9999999993,46.34,18.12,64.29,22.47,7.71,3.3,53.54,32.62,42.59,1206.45,1928.64,1.5,23.02,31.52,33.75,21.67,15.18,98.42,8.34,87.09,0.68,1.05,84.84,94.67,4.28,33.2,92.08,54.54,91.05,100,100,91.87,35.89,97.21,76.42,61.38,45.76,31.84,8.15,66.21,0.76,2425.87,3192.06,0.672,2323.81,3460.19,17.3,15.69,4.78,63.05,66.39,52.74,3062.47,2856.63,27.72,5.76,0.46,35.44,8.64,2.12,53.68,0.11,26,0.16,9.85,4.44,1.02,57.18,11.75,3.52,15.05,0.12,5.5,1.98,3.09,34.81,41.62
1100031,658,2124,1979.00000000001,6313.00000000002,23.74,12.47,76.29,7.73,0,3.19,50.64,16.42,47.34,993.54,1352.4,1.03,12.23,19.18,23.66,31.03,14.79,97.17,20.52,95.19,0,1.08,49.66,94.45,0.84,9.29,86.11,70.28,85.11,100,100,91.84,52.53,98.03,81.87,70.29,29.82,20.54,4.94,58.65,0.678,1516.82,2236.29,0.629,1502.37,2388.57,12.53,25.7,2.86,56.97,48.42,39.3,2179.52,1933.2,29.8,5.16,0,46.22,7.37,1.59,44.78,0.04,29,0.25,10.24,6.47,1.07,66.15,11.03,3.03,13.97,0.05,3.57,3.04,3.06,17.55,46.53
1100049,2403,7745,24413.0000000002,78574.0000000006,45.67,13.61,65.43,21.55,5.37,3.23,49.8,31.73,43.38,1206.45,1862.07,1.62,26.67,34.13,75.61,22.12,17.15,99.09,54.57,97.54,41.89,2.83,78.9,94.58,50.9,35.88,91.66,57.53,90.95,100,100,92.46,38.69,97.61,81.04,70.79,42.52,28.11,8.72,65.05,0.557,2102.86,3778.69,0.573,2276.3,3971.09,18.25,21.38,5.96,61.17,65.75,54.45,3226.31,3001.05,27.9,6.71,0.04,41.79,5.77,1.3,49.27,1.87,27,0.22,9.23,5.49,0.99,57.74,10.74,2.92,13.53,0.05,3.99,2.59,3.05,34.12,42.83
1100056,1063,3344,5398.99999999999,17029,25.74,10.18,72.14,14.2,0.51,3.18,48.85,39.77,44.21,1206.45,1586.14,1.23,21.22,26.46,35.39,26.14,14.93,98.67,16.87,89.85,0.11,0.59,78.56,96.25,6.74,24.88,89.66,64.01,89.28,100,100,92.85,38.92,98.54,81.81,76.42,36.2,24.33,7.11,65.23,0.64,1682.74,2630.66,0.644,1735.65,2696.84,13.37,23.74,5.4,61.7,47.67,46.91,2364.31,2198.17,25.48,5.6,0,47.83,5.08,0.94,46.07,0.08,28,0.28,8.57,6.99,1.01,66.69,14.52,4.39,18.44,0.11,7.23,2.25,3.02,41.69,43.41
1100064,1190,3648,6012.99999999992,18590.9999999997,25.75,9.4,77.31,10.73,0.4,3.11,48.02,31.35,45.88,1123.65,1455.38,1.15,23.57,29.05,61.1,28.25,16.56,97.81,5.01,96.12,0.49,2.98,69.35,96.17,3.23,29.55,87.16,65.19,87.12,100,100,92.46,47.17,97.65,86.6,71.79,34.98,23.59,7.9,60.2,0.676,1686.72,2495.71,0.787,1898.07,2411.27,17.09,26.64,6.65,56.2,54.85,48.79,2397.9,2130.33,29.23,6.35,0.15,41.15,6.89,2.02,49.89,0.05,29,0.29,9.09,6.89,1.01,60.97,9.3,2.78,11.81,0.16,3.87,2.4,2.98,33.18,45.18
1100072,548,1745,2769.99999999999,8782.99999999997,22.34,10.01,73.94,5.53,0,3.25,50.32,16.96,44.03,946.23,1252.27,0.94,10.03,14.41,11.7,32.79,13.04,98.02,12.85,91.59,0,3.68,38.05,90.06,0.92,17.32,87.9,75.39,87.79,100,100,93.02,46.57,97.09,76.16,68.23,24.61,13.04,4.52,62.01,0.599,1218.66,2035.26,0.886,1621.04,1829.89,9.41,27.52,3.66,59.74,53.62,43.89,1787.7,1707.61,27.27,5.16,0,37.83,8.72,1.99,51.41,0.05,27,0.22,8.43,5.78,1.16,78.91,14.17,4.15,17.69,0.06,2.22,2.76,3.19,17.69,43.7
1100080,756,2685,3811.00000000001,13678.0000000001,18.73,23.89,73.89,8.56,0,3.65,59.17,31.46,42.47,780.64,1234.47,0.9,12.28,15.76,15.35,39.44,21.65,88.51,9.12,62.3,0.1,8.09,57.05,71.87,3.09,23.65,91.03,66.06,88.71,100,100,89.93,29.44,97.57,74.64,56.78,34.32,20.63,5,64.1,0.635,1306.16,2056.12,0.727,1527.95,2100.98,12.36,21.31,4.67,61.1,40.87,34.24,1864,1736.54,32.24,7.19,0.6,31.4,6.83,0.62,59.15,2,23,0.12,12,4.06,1.11,53.9,12.14,5.77,17.75,1.58,0.75,4.2,3.41,34.22,41.4
1100098,854,2760,8797.00000000001,28729.0000000001,25.63,13.29,71.39,15.14,0.65,3.29,52.72,33.39,42.98,1040.86,1694.6,1.32,18.09,24.1,27.14,28.85,15.58,96.89,14.03,91.09,0.27,6.9,66.98,90.53,4.78,44.28,90.44,67.11,88.75,100,100,91.8,36.92,95.91,75.91,68.06,33.07,18.47,5.73,67.8,0.588,1727.86,2940.1,0.848,2229.97,2630.41,12.68,21.37,4.59,64.68,52.83,40.52,2615.33,2401.03,27.18,5.7,0.34,46.2,5.53,1.25,45.9,1.12,27,0.19,9.88,5.05,1.03,62.6,11.8,1.57,13.25,0.03,3.08,5.5,3.16,36.35,42.24
1100106,1111,4116,11348,41656.0000000001,46.05,29.12,75.15,15.9,1.7,3.78,59.8,37.82,44.49,946.23,1527.04,1.19,20.17,27.05,42.76,31.72,14.94,97.53,23.1,57.76,9.62,7.88,80.96,74.18,13.49,29.43,90.8,54.08,88.96,100,100,89.98,31.09,93.13,81.73,50.35,46.12,30.71,7.07,56.85,0.668,1822.84,2729.03,0.718,2182.3,3039.13,14.9,19.59,6.81,52.98,57.38,48.63,2438.39,2310.06,34.52,4.79,3.42,20.46,7.73,1.84,59.29,10.68,24,0.15,12.02,4.88,1.01,26.59,5.81,3.07,8.49,2.27,4.97,1.77,3.22,43.16,42.9
