cod_uf,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a15_moradores,a15z_v005_familia,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a2_agua_rede,a22_energia,a23_esgoto_adeq,a24_duravel,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a4_esgoto_rede,a5_esgoto_inadeq,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_v036_igual_0,b4_freq_15a17,b8_superior_comp,c1_participacao,c13_beneficio,c2_desocupacao,c2z_v047_naonulo,c3_ocupacao,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,d7z_filhos_no_sexo_0,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,f1_tamanho_familia
11,5634,29841,20472,111064,63.04,57.11,11.31,5.18,4.99,73.12,9.74,40.01,16.75,25.25,6.8,40.67,25.24,50.08,14.51,0.7,3.18,15.74,34.08,0,49.46,43.74,65.06,53.78,56.54,100,100,82.09,56.22,57.63,0,48.61,0.98,45.65,0.58,1.98,30.53,44.75,0.03,21.49,1.47,1.13,0,46.42,20.61,1.57,0.91,4.92
12,9686,59333,35790,215299,75.98,71.58,6.07,6.06,5.9,80.72,10.06,40.89,3.04,14.31,1.11,46.6,27.38,41.33,6.38,0.05,1.27,3.14,69.68,0,39.49,59.4,47.15,61.3,37.57,100,100,81.04,59.51,36.86,0.01,36.19,0.64,46.72,0.28,1.22,29.98,46.15,0.04,22.66,1.74,1.09,0,15.24,3.89,0.28,0.03,5.78
13,41725,251745,152493,955203,74.23,79.32,8.59,5.98,5.72,81.66,12.64,41.37,21.45,27.59,9.88,38.06,40.37,46.7,15.39,8.2,2.58,14.8,43.24,0,40.93,49.19,62.69,45.54,52.24,99.99,100,81.92,51.01,51.72,0.01,48.21,1.37,42.79,0.8,0.66,28.2,42.51,0.04,21.54,1.92,1.02,0,13.63,5.07,0.36,0.62,5.51
14,1690,10568,6589,40885,65.28,71.3,9.83,6.09,5.87,81.28,10.91,41.34,7.63,28.81,5.83,41.9,24.47,53.92,17.26,0.21,2.47,11.26,56.94,0,47.85,46.32,66.12,44.38,58.9,100,100,82.24,56.03,71.21,0,55.1,1.09,42.74,0.41,0.51,28.04,42.52,0.03,21.66,1.64,1.06,0,21.2,9.11,0.67,0.41,5.68
15,96194,576617,351135,2166998,67.8,78.43,10.46,5.95,5.67,79.73,14.8,42.49,20.82,28.11,9.18,46.27,44,44.24,15.3,10.82,2.4,16.2,45,2.38,59.51,31.31,67.64,39.67,59.45,99.98,99.99,82.53,50.83,63.37,0.06,52.59,1.06,42.49,1.02,1.74,28.63,41.75,0.06,20.7,2.54,1.01,0,18.09,7.81,0.38,1.51,5.46
16,4608,28307,17900,114230,70.69,74.45,12.15,6.09,5.88,83.69,13.99,40.67,8.34,36.99,9.54,50.56,29.23,50.85,19.31,0.57,2.21,16.16,32.61,4.56,70.13,20.33,66.21,44.32,59.33,99.99,100,80.56,64.61,69.73,0,59.84,1,39.64,0.5,1.08,25.48,39.21,0.03,22.93,1.72,1.01,0,34.02,10.81,0.4,1.29,5.62
20,56,326,211,1241,60.19,0,60.66,5.76,5.33,76.89,6.13,40.12,46.92,100,64.45,93.36,100,59.72,42.65,0,2.84,72.51,19.91,0,12.8,22.75,84.74,21.88,83.52,100,100,84.13,57.14,91.43,0,81.93,1.78,43,0,0,27.96,43,0.02,19.34,0.81,1.25,0,66.24,35.82,0,0,5.45
21,143796,719670,570594,2992678,62.79,83.42,3.2,5,4.9,75.5,15.42,40.99,5.72,6.24,2.48,22.92,20.13,18.78,3.39,1.91,0.79,4.8,29.6,0.94,14.07,83.45,40.2,67.39,35.66,99.99,100,82.97,75.87,43.56,0.02,38.65,0.37,48.1,0.39,0.75,32.52,47.74,0.05,20.28,2.37,1,0,27.87,10.77,0.03,1.12,4.79
22,75282,428968,288146,1680573,62.56,70.45,6.52,5.63,5.55,79.39,15.62,42.9,7.15,9.07,3.73,45.36,26.85,22.3,4.67,2.14,1.28,4.82,2.25,0.22,10.07,86.2,40.23,71.48,33.15,99.99,99.99,81.97,77.63,42.26,0.06,40.65,0.45,43.67,0.71,0.79,28.84,43.32,0.06,21.41,2.74,0.97,0,16.54,6.72,0.01,1.64,5.32
23,202122,1158039,744811,4357440,56.19,58.82,11.31,5.7,5.55,77.04,13.68,44.38,6.15,20.19,7.09,56.68,40.86,35.49,9.46,7.04,3.06,8.79,57.3,0.59,19.99,72.91,45.18,65.29,38.35,100,100,82.74,72.83,41.73,0.02,38.83,0.93,42.85,0.76,1.99,28.78,42,0.08,20.66,3.47,0.95,0,16.48,6.56,0.03,1.23,5.39
