cod_uf,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19b_rdpc_media,a19c_rdpc_sm,a2_agua_rede,a20_rdpc_baixa,a22_energia,a23_esgoto_adeq,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a31_telefone,a32_comodos,a33_dormitorios,a4_esgoto_rede,a5_esgoto_inadeq,a7_banheiro_excl,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
11,24492,116536,93830,491025,9.17,58.99,64.16,14.27,1.39,5.1,77.79,7.02,39.06,1065.27,0.98,18.3,51.88,31.16,13.73,48.12,59,24.57,24.12,10.46,18.09,58.61,5.59,4.05,1.89,2.47,42.88,46.11,44.38,68.84,45.09,57.89,99.14,96.69,97.84,60.52,50.99,34.95,8.06,4.5,1.4,51.37,0.674,2064.98,3063.72,0.685,2489.66,3635.07,1.14,0.83,50.94,30.22,2854.83,2887.44,49.39,34.19,3.59,0.17,62.05,0.03,20.62,1.58,1.12,68.72,45.88,0.4,4.75,8.18,38.61
12,14803,70503,56992,301276,8.24,66.07,76.77,8.51,0.92,5.17,78.7,11.37,40.38,828.02,0.77,23.84,59.21,37.58,3.77,46.58,62.99,28.54,28.74,6.9,18.65,50.85,5.66,3.5,1.65,0,57.59,50.69,39.54,55.6,60.09,43.4,99.02,97.3,98.09,60.93,41.41,41.76,8.64,4.76,1.7,46.28,0.731,1713.73,2344.56,0.643,1948.37,3031.54,3.09,0.65,45.98,31.34,2264.13,2212.11,46.98,23.29,3.08,0.25,73.37,0.05,21.71,2.55,1.06,21.52,7.9,0.18,4.95,12.86,39.97
13,63723,338052,248818,1430528,17.11,68.89,75.06,13.92,2.13,5.68,81.22,11.95,41.01,1054.7,0.97,53.31,50.54,54.51,26.08,61.54,60.66,42.83,41.72,9.9,40.58,34.81,7.93,3.63,1.79,8.27,54.65,68.91,19.59,71.06,43.02,55.91,99.17,97,97.92,51.63,53.53,55.43,12.82,7.65,1.92,46.75,0.641,1969.94,3073.35,0.559,2391.77,4282.46,3.31,1.37,46.11,46.83,2805.52,2784.47,45.87,18.15,1.72,0.29,79.84,0.05,22.11,2.44,1.02,19.95,7.54,0.26,5.2,14.36,40.06
14,3875,18323,15471,79121,37.64,58.81,69.77,17.33,0.26,5.01,76.24,10.45,40.36,1288.68,1.19,47.9,42.46,57.11,27.36,63.22,67.49,47.79,42.27,16.2,38.99,33.09,12.15,3.89,1.81,13.77,58.68,74.81,14.25,75.14,40.68,64.47,99.1,97.6,98.4,52.92,63.92,58.45,14.05,7.93,2.24,48.92,0.673,2281.37,3390.35,0.56,2579.68,4608.92,1.38,0.93,48.47,46.57,3108.98,3141.65,45.2,25.38,3.13,0.53,70.96,0.05,21.03,2.18,1.08,31.87,19.4,0.84,4.7,11.66,39.79
15,154748,828740,598185,3403498,20.94,64.14,74.36,13.43,1.59,5.59,79.61,12.26,42.05,877.53,0.81,37.14,58.16,44.12,22.12,48.78,60.71,32.46,32.22,8.01,31.6,47.32,6.6,4.13,1.95,4.54,61.6,74.45,16.6,72.84,37.96,58.98,98.99,97.73,98.27,54.07,55.47,54.34,11.07,6.23,1.84,44.11,0.542,1467.71,2710.43,0.568,2094.08,3684.52,3.71,1.24,43.57,37.09,2449.29,2416.72,47.5,18.75,2.92,0.24,78.09,0.07,20.66,3.09,1.03,29.61,15.58,0.21,5.05,14.9,40.97
16,7555,42752,29702,175258,9.22,66.52,77.29,12.85,1.03,5.85,83.42,14.3,41.53,913.9,0.84,52.91,55.63,64.53,5.9,58.2,63.53,48.54,42.32,9.71,43.7,25.82,10.4,4.26,1.98,5.02,83.1,78.37,11.12,75.58,36.91,62.1,99.54,98.63,98.98,64.92,68.64,62.45,15.58,10.05,2.14,42.48,0.615,1714.49,2785.71,0.658,2236.14,3400.89,3.02,2.24,41.52,50.37,2556.79,2494.93,47.21,20.59,3.38,0.08,75.96,0.06,22.93,2.93,1,32.96,12.16,0.19,5.11,18.62,39.95
20,,,,,,53.54,,,,5.48,78.32,7.3,40.84,1267.08,1.32,,42.48,,,,,,,,,,,,,,,,,,25.81,,,,,,,,29.3,15.81,3.95,,0.322,1037.82,3221.19,0.96,2583.82,2690.69,,,,,2621.49,2643.49,35.92,,,,,,,,,,,,5.12,7.14,40.34
21,197194,973791,770557,3996444,27.15,62.78,86.37,5.78,0.21,5.15,77.69,14.55,42.9,439.7,0.41,17.87,79.89,23.32,9.86,30.09,44.09,14.71,13.19,3.8,13.8,76.57,2.34,4.14,1.83,4.23,24.13,31.14,66.86,49.43,62.32,40.55,98.89,97.51,98.1,77.44,38.43,43.65,5.66,3.65,0.81,47.83,0.525,783.49,1492.36,0.583,1117.45,1917.54,3.82,1.34,47.19,17.47,1305.95,1292.09,47.99,21.99,7.82,0.2,69.99,0.08,20.78,3.66,0.99,31.27,12.57,0.03,4.86,15.87,42.22
22,100417,514491,386263,2139196,56.44,57.76,78.39,8.76,0.19,5.48,78.28,14.58,44.28,379.71,0.35,26.71,83.38,28.69,13.2,42.49,55.83,17.94,17.89,5.85,17.78,77.03,3.84,4.69,2.13,0.86,15.04,26.24,72.22,50.83,66.5,41.35,99.04,98.52,98.68,77.19,46.37,49.57,6.72,4.36,0.97,44.67,0.617,892.63,1447.3,0.501,1099.15,2195.99,5.09,0.92,44.26,24.4,1293.19,1276.45,55.3,15.46,6.4,0.1,78.04,0.09,19.88,3.89,0.96,21.16,9.01,0.01,5.16,16.04,43.47
23,258775,1307350,999192,5288429,69.21,49.93,59.57,16.18,1.28,5.27,75.14,14.27,45.03,587,0.54,17.65,74.55,43.37,27.6,55.26,67.59,24.67,28.73,9.24,20.79,62.81,5.98,4.96,2.25,2.06,16.2,40.81,56.56,55,57.21,48.59,98.92,98.62,83.9,70.29,45.28,46.34,8.5,5.43,1.54,45.01,0.545,1017.47,1867.05,0.528,1267.55,2400.39,5.69,1.44,44.36,34.64,1580.37,1585.05,48.46,27.97,4.18,0.16,67.69,0.1,17.98,4.45,0.95,25.2,10.39,0.03,4.95,15.86,44.26
