cod_uf,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a19z_v2012_naonulo,a2_agua_rede,a20_rdpc_baixa,a21b_com_defic_1991,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_grau_ambos_nulos,b3z_v0324_naonulo,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,b9z_estudo_acima17,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c8z_faixa_sm,c8z_valor_sm,c9_sem_rendimento,c9z_rend_naonulo_14mais,d10c_deficiencia_1991,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v0318_naonulo,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
11,26850,120448,258712.19773984,1133249.54717147,24.64,28.84,11.69,0.89,4.38,73.98,11.61,39.65,445.86,930.26,0.99,94.15,33.11,48.88,3.25,62.53,29.39,43.79,0.25,24.69,39.01,71.09,16.48,24.65,80.4,28.34,75.69,100,100,86.3,55.46,71.05,0,100,44.24,19.95,11.63,2.36,3.9,0.62,59.69,0.781,1743.69,2232.01,0.706,1804.78,2554.97,4.23,3.75,57.45,50.79,30.59,4.89,2056.11,2102.97,2.55,2.25,43.02,97.38,0.79,39.42,3.54,0.22,56.45,0.37,19,0.06,16.44,2.23,1.07,67.6,25.78,79.45,0.29,4.18,13.71,39.04
12,9824,44930,89773.99990162,417098.330231409,16.19,44.52,7.35,1.61,4.65,78.26,17.46,40.97,390.13,851.53,0.91,96.44,45.19,53.89,4.77,66.25,24.55,31.7,3.56,35.24,38.62,63.14,18.84,7.53,65.74,39.77,58.58,100,100,85.2,57.93,59.81,0,100,50.75,21.95,13.21,2.81,3.64,0.98,57.46,0.738,1584.06,2146.36,0.652,1739.67,2670.14,7.59,4.9,54.65,61.36,38.1,5.7,1874,1965.76,2.42,2.1,40.93,98.56,1.09,22.81,2.63,0.05,73.37,1.14,17,0.07,17.73,3.07,1.03,24.16,9.94,31.2,0.12,4.36,20.25,40.01
13,45583,242782,400238.579691299,2102776.01394687,30.97,50.72,9.47,2.47,5.25,79.46,17,41.17,483.01,1077.03,1.15,95.51,62.92,44.48,4.4,75.13,29.92,53.46,1,27.1,47.04,76,25.51,15.49,76.15,30.39,67.3,100,100,85.43,49.85,61.82,0,100,58.21,27.28,16.7,2.75,4.43,0.48,54.13,0.716,2076.94,2901.72,0.574,2331.12,4058.29,6.24,9.85,48.8,61.46,43.52,4.17,2651.29,2643.2,3.22,2.82,46.99,98.25,0.92,17.45,2.05,0.16,77.09,3.25,17,0.06,17.63,2.72,1.02,18.23,7.79,22.8,0.11,4.7,20.86,39.79
14,5486,23102,54368.02406619,217582.99976848,45.19,38.98,12.49,1.07,4,61.15,12.94,37.63,936.31,2235.69,2.39,91.69,70.4,25.97,3.07,77.75,30.28,51.72,4.7,23.38,53.03,72.91,26.02,16.07,78.26,28.52,72.38,100,100,86.35,56.33,72.18,0,100,59.85,25.31,13.92,2.72,4.36,0.87,60.97,0.722,2910.76,4029.78,0.725,3515.29,4849.38,3.36,8.48,55.8,58.76,34.24,3.7,3725.4,3740.19,4.68,3.99,41.53,96.1,0.84,21.2,3.69,0.21,63.93,10.98,20,0.05,16.35,2.07,1.22,43.12,24.51,51.6,0.41,3.87,14.05,37.25
15,103849,528899,970660.840451539,4949206.83903106,30.63,42.59,8.89,2.41,5.1,77.9,15.47,42.41,371.55,846.71,0.9,97.56,40.02,56.9,4.5,66.1,29.25,39.24,1.39,19.86,32.86,76.8,20.33,10.27,76.38,27.88,67.25,100,100,85.58,50.58,68.67,0,100,58.11,21.9,12.9,2.76,4.03,0.34,53.74,0.727,1608.86,2211.76,0.583,1758.5,3014.53,6.72,5.75,50.66,45.19,29.88,5.4,2008.7,2040.43,2.49,2.18,45.77,99.09,0.96,21.22,3.24,0.13,75.08,0.33,18,0.07,17.33,3.18,1.02,32.73,14.7,40.76,0.09,4.59,19.62,40.93
16,6073,31659,54232.9999391901,289039.072327971,21.93,48.88,8.51,0.35,5.33,81.94,18.73,40.81,557.32,1157.58,1.24,97.76,64.12,40.71,3.97,84.65,14.34,56.69,5.57,24.88,59.05,80.84,12.86,15.34,80.74,26.17,72.86,100,100,84.28,56.82,73.71,0,100,62.69,29.78,18.17,3.84,4.86,0.57,55.04,0.742,2298.66,3099.24,0.721,2617.25,3631.42,5.42,9.29,49.93,66.89,44.81,6.24,2795.52,2839.27,3.54,3.03,45.17,99.2,0.81,21.62,4.09,0.06,73.11,1.12,16,0.05,19.06,2.47,1.01,31.98,15.02,40.23,0.12,4.73,22.56,39.17
17,29801,140032,194969.99970163,918394.05174959,64.93,33.25,9.42,0.08,4.71,74.07,15.25,43.6,318.47,728.12,0.78,97.98,33.64,62.23,4.93,53.53,0.61,30.77,0,46.51,22.41,49.94,0.24,17.09,69.88,38.31,63.08,100,100,86.39,68.86,67.86,0,100,60.27,14.63,8.54,1.46,3.1,0.34,54.32,0.657,1215.79,1851.64,0.547,1390.79,2542.27,7.42,4.24,52.01,26.63,22.41,5.69,1667.4,1675.89,2.01,1.79,42.84,99.23,1.13,24.36,6.11,0.09,68.88,0.55,18,0.09,16.5,3.7,1.05,45.06,21.15,55,0.02,4.46,17.83,42.74
21,105841,527619,990921.998941941,4929680.50461813,45.14,39.91,5.86,0.64,4.97,78.36,18.23,44.07,222.93,438.24,0.47,96.99,35,73.37,4.8,58.93,18.59,25.52,7.12,49.96,16.32,49.72,15.78,3.91,59.32,47.02,52.56,100,100,85.18,72.79,61.22,0,100,54.2,15.8,10.25,1.33,2.85,0.47,53.28,0.626,819.13,1308.08,0.548,982.39,1791.75,9.34,4.56,50.85,39.52,20.78,3.8,1148.05,1151.1,1.42,1.23,44.78,98.84,1.05,20.68,5.61,0.07,73.32,0.32,17,0.09,17.9,4.14,0.99,30.9,11.91,38.8,0.02,4.59,21.29,42.88
22,66477,337570,522588.99933602,2582072.43140555,73.53,32.11,7.45,1.2,4.94,75.7,18.56,45.12,213.64,461.89,0.49,96.87,49.02,72.79,5.19,55.24,23.17,34.56,1.3,58.31,23.74,40.37,21.99,3.39,59.54,47.41,52.71,100,100,86.79,71.04,66.38,0,100,52.66,16.94,11.1,1.96,2.96,0.85,53.25,0.696,900.2,1293.55,0.543,972.03,1789.49,11.44,4.09,51.07,39.6,25.73,5.45,1080.96,1157.31,1.43,1.24,44.05,98.88,1.14,21.88,5.61,0.03,72.47,0.01,18,0.11,16.05,4.49,0.95,23.83,9.84,32.16,0.01,4.56,21.63,43.86
23,151181,710923,1356757.99848626,6366114.19969506,83.95,25.86,13.28,3.84,4.69,73.05,17.97,45.46,255.13,615.02,0.66,98.27,42.78,68.97,5.1,67.11,20.07,40.81,6.32,41.77,42.89,56.95,15.66,4.95,63.93,40.62,58.64,100,100,86.92,62.61,68.79,0,100,52.6,19.54,12.71,3.12,3.44,0.66,54.28,0.689,1057.86,1534.43,0.54,1087.44,2014.18,11.19,4.26,51.96,42.06,30.84,6.38,1297.63,1363.15,1.64,1.46,40.56,99.37,1.18,29.39,2.96,0.06,67.55,0.04,20,0.14,15.82,5.27,0.94,27.02,11.15,36.35,0.02,4.3,21.34,44.17
