cod_uf,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c5z_v0450_naonulo,c5z_v0450_naonulo_carteira,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,e4z_v4276_naonulo,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
11,43293,172073,354391.00000026,1380951.75435208,29.39,73.47,9.78,0.87,3.9,66.99,18.4,41.56,632.8,1271.96,1.67,4.18,30.82,33.45,11.55,84.77,23.8,64.99,4.23,13.18,57.37,61.11,9.94,21.46,87.56,18.23,75.18,100,100,100,46.12,87.57,63.66,53.07,27.14,16.03,2.89,4.88,61.89,0.674,1969.45,2922.6,0.695,2164.93,3116.99,14.17,6.85,10.56,55.36,46.56,33.64,60.69,0,6.36,2705.27,2585.32,39.62,3.5,43.15,4.65,0.23,51.19,0.78,21,0.09,13.6,3.23,1.05,62.2,17.45,0.18,100,100,3.69,20.16,40.74
12,16818,71063,131579.99999984,557882.21636239,43.98,79,6.21,2.1,4.24,72.54,24.46,41.99,460.94,1030.78,1.34,3.61,36.28,43.52,14.11,78.96,39.31,38.62,24.83,30.6,56.04,38.58,19.55,17.05,76.28,30.15,62.37,100,100,100,52.59,81.6,69.46,45.98,29.55,17.56,3.71,4.62,57.32,0.804,1948.87,2424.07,0.619,1881.04,3038.84,16.62,8.74,12.5,50.15,48.62,34.13,54.71,0,7.97,2307.85,2234.04,42.33,4.07,30.48,5.08,0.25,62.74,1.45,19,0.1,16.41,3.7,1.01,28.75,8.88,0.16,100,100,3.94,26.6,40.78
13,63970,314758,580899.99999979,2817252.08353672,54.46,79.26,8.4,3.78,4.85,74.39,24.84,42.3,423.14,1077.31,1.43,6.23,60.47,47.27,13.89,84.72,54.11,56.37,23.38,21.87,64.83,53.14,39.73,24.02,84.89,20.1,67.74,100,100,100,42.05,80.03,72.73,36.33,35.79,23.74,3.39,5.56,58.17,0.732,1980.85,2704.3,0.581,2022.04,3479.68,15.78,6.91,19.95,46.57,43.16,29.83,54.66,0,6.53,2504.4,2418.41,48.53,3.54,24.55,3.15,0.34,67.88,4.08,19,0.08,16.61,3.27,1.01,25.49,7.92,0.18,100,100,4.22,27.43,40.3
14,9857,41639,76680.99999986,324396.999999289,45.76,74.46,10.42,3.15,4.23,70.47,22.97,40.42,665.7,1340.56,1.77,5.48,79.39,34.41,10.61,87.01,71.22,65.05,12.83,11.6,68.85,64.36,64.1,24.11,87.32,17.5,72.3,100,100,100,49.35,92.75,79.87,54.26,37.6,21.38,4.06,5.71,65.22,0.768,2359.63,3073.26,0.609,2405.34,3949.05,17.88,5.11,14.97,55.45,28.87,25.17,55.08,0,6.01,2886.84,2785.97,39.7,2.89,24.94,4.26,0.14,61.94,8.73,19,0.07,16.37,2.65,1.05,52.48,22.07,0.5,100,100,3.93,25.33,39.37
15,145992,691394,1332247.99999912,6195964.87858019,47.02,78.64,7.5,2.79,4.65,72.3,22.64,43.55,420.85,970.56,1.27,4.09,42.81,46.86,14.95,79.03,43.38,47.17,8.45,18.57,53.68,45.21,24.35,15.56,83.93,19.01,68.32,100,100,100,41.82,88.15,73.57,33.51,30.36,17.87,3.29,5.02,57.18,0.703,1685.18,2396.54,0.568,1761.42,3101.87,13.27,7.72,14,49.17,33.88,23.32,63.41,0,6.88,2176.83,2134.35,44.93,3.94,26.41,5.57,0.19,67.22,0.62,20,0.1,15.09,3.85,1.02,35.79,11.23,0.06,100,100,4.09,25.91,41.62
16,11821,55391,100764.99999997,477031.99999916,51.65,80.61,8.42,1.18,4.73,75.21,28.5,41.02,550.93,1259.1,1.68,5.1,51.41,38.85,12.98,95.15,26.71,63.31,7.01,24.6,72.38,54.62,13.99,31.08,88.29,16.32,71.07,100,100,100,44.93,90.98,83.13,48.49,41.66,25.89,4.19,6.06,59.26,0.783,2340.68,2990.86,0.688,2426.59,3529.06,20.45,4.73,19.46,47.73,44.32,35.88,55.65,0,9.01,2778.87,2726.66,44.35,3.33,26.89,5.42,0.17,66.47,1.05,19,0.07,16.92,2.73,1.01,39.92,14.48,0.1,100,100,4.18,31.21,39.27
17,43043,175904,285700.99999957,1157690.11490746,33.13,70.94,12.54,0.36,4.05,66.05,21,43.77,441.89,983.15,1.28,2.86,66.47,45.49,14.53,77.88,27.19,56.7,4.1,26.51,57,57.62,22.54,7.53,82.14,22.69,69.79,100,100,100,55.64,90.9,77.89,41.87,26.94,17.07,2.95,4.66,59.82,0.624,1447.48,2319.7,0.529,1550.03,2932.06,15.23,8.32,14.43,51.18,29.33,24.6,59.7,0,8.38,2133.08,1986.72,42.39,4.39,30.76,7.13,0.23,60.96,0.92,21,0.13,13.93,4.48,1.05,49.6,19.37,0.03,100,100,3.83,23.14,42.76
21,150441,703621,1246714.99999881,5657552.06598474,43.52,80.2,5.94,0.96,4.54,72.56,23.69,45.14,277.3,625.69,0.78,2.13,53.3,61.94,16.31,79.74,41.23,34.3,15.29,42.24,34.49,33.5,33.68,5.31,72.86,30.82,61.27,100,100,100,61.32,90.17,75.99,33.91,23.65,15.31,1.86,3.99,55.12,0.736,1176.35,1598.23,0.568,1178.76,2074.25,12.08,10.08,12.24,48.37,29.59,17.43,63.25,0,5.85,1480.48,1429.02,46.31,4.44,26.94,9.67,0.13,62.77,0.49,20,0.13,14.65,4.86,0.99,31.58,8.76,0.02,100,100,4.1,26.53,43.43
22,94534,405936,665807.9999986,2843427.92718764,35.49,72.65,7.02,1.47,4.27,67.31,23.04,46.35,332.6,700.73,0.89,2.7,60.96,56.18,17.31,75.95,68.82,49.01,7.27,42.88,43.85,48.29,60.58,4.59,70.83,31.32,61.27,100,100,100,61.84,92.48,76.43,29.55,23.47,14.76,2.52,3.99,54.86,0.752,1255.77,1669.15,0.523,1192.68,2281.35,13.49,12.97,10.94,48.86,31.78,20.37,61.08,0,6.12,1505.48,1496.02,43.13,4.99,26.72,7.82,0.19,65.18,0.09,22,0.17,12.82,5.7,0.97,25.26,7.52,0.01,100,100,3.91,25.81,44.75
23,201143,866347,1773392.9999983,7431597.46652379,34.83,71.51,11.8,5.41,4.19,66.55,24.44,46.34,359.41,874.4,1.13,4.7,61.04,50.72,16.75,89.27,45.04,60.56,28.66,25.07,61.56,58.26,35.93,7.44,75.03,26.52,64.85,100,100,100,52.74,93.59,79.11,44.98,26.65,16.83,3.65,4.48,55.8,0.722,1457.55,2019.28,0.558,1355.59,2428.43,14.58,12.65,13.53,48.25,39.83,28.88,58.74,0,7.01,1792.51,1773.05,41.88,4.93,37.58,4.14,0.14,57.97,0.17,22,0.18,13.18,6.17,0.95,26.53,7.75,0.03,100,100,3.85,26.81,44.93
