cod_uf,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10_parede_alv,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1b_micro_internet,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10b_sem_fund,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d11_sem_registro,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v6264_igual,e2z_v6264_naonulo,e3_estrangeiro,e4_trab_outro_mun,e5_desloc_mais_1h,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
11,58314,195607,468316,1562409,40.76,18.27,69.1,17.6,5.72,3.38,53.19,32.26,43.13,1182.79,1964.93,1.5,22.58,29.01,38.06,25.68,15.5,97.13,22.29,84.24,6.16,4.16,72.62,90.28,11.73,30.92,91.03,57.41,89.71,100,100,91.81,37.18,95.91,80.33,61.9,42.75,29.23,8.05,65.06,0.661,2171.96,3286.2,0.696,2402.1,3452.8,16.46,19.8,5.47,61.5,64.54,51.15,3013.51,2794.03,28.94,5.72,0.42,35.02,6.81,1.45,55.84,0.87,26,0.17,9.95,4.71,1.04,58.43,13.65,3.25,16.64,0.17,3.76,4.11,3.15,34.74,42.22
12,24339,93675,193692.000000002,733559.000000007,30.9,32.53,77.16,10.84,5.57,3.82,63.42,39.31,42.48,804.3,1683.1,1.25,19.22,24.52,45.87,38.13,19.6,93.06,39.98,58.42,26.86,25.17,74.89,64.42,21.89,25.6,83.41,56.15,81.43,100,100,89.44,45.48,91.83,77.76,63.32,44.09,31.87,9,59.13,0.751,2200.59,2930.38,0.649,2297.65,3542.74,17.28,20.38,7.98,54.41,59.39,47.04,2786.18,2584.38,35.87,6.58,1.39,23.35,5.66,1.96,66.88,2.14,22,0.13,12.86,4.32,1.01,28.61,6.86,2.19,8.91,0.13,2.94,4.38,3.47,42.18,41.28
13,64586,295034,806974.00000001,3483985.00000005,52.09,43.15,76.33,14.33,6.65,4.34,65.05,39.82,43,804.3,1860.24,1.34,16.63,26.59,63.9,40.11,18.89,93.4,46.41,72.55,27.54,16.73,78.92,77.28,35.1,41.01,90.02,48.19,86.3,100,100,89.34,32.22,91.2,80.39,56.7,52.35,38.51,8.27,59.63,0.689,2225.47,3228.03,0.504,2275.53,4514.62,16.9,18.29,9.67,53.86,59.11,45.45,2892.39,2760.07,38.91,5.78,2.65,21.21,4.09,0.91,68.98,4.8,23,0.12,12.93,4.01,1.01,25.33,6.15,2.2,8.24,0.2,1.62,13.42,3.66,44.65,40.99
14,16314,63765,117965,450479.000000001,57.15,36.3,72.27,16.71,6.82,3.86,61.21,40.33,41.67,958.06,1964.21,1.45,17.29,26.55,81.18,34.29,17.02,92.43,47.41,80.88,16.35,7.58,78.99,85.16,44.1,41.39,89.67,45.81,86.93,100,100,89.43,38.89,91.69,82.13,62.97,54.44,41.32,10.19,61.89,0.725,2442.95,3369.63,0.574,2531.95,4411.19,19.03,21.51,7.68,57.14,51.23,49.74,3241.88,2920.92,34.08,5.52,5.43,20.9,6.03,0.96,60.92,11.18,23,0.11,12.81,3.51,1.03,47.53,11.05,2.91,13.69,0.26,3.65,3.39,3.4,44.83,40.55
15,176711,729094,1877875.99999999,7581050.99999997,45.17,35.82,77.78,12.29,3.18,4.05,61.83,36.8,43.86,709.67,1479.67,1.07,12.47,18.84,47.48,42.18,19.74,92.66,32.66,66.28,10.69,13.18,70.66,73.78,20.1,23.93,88.33,56.58,84.98,100,100,90.27,34.23,94.48,81.52,49.94,43.61,28.76,6.22,58.06,0.695,1770,2546.48,0.583,1885.6,3235.6,14.54,21.24,9.12,52.76,49.21,38.4,2341.86,2191.8,36.72,6.31,2.23,21.6,7.04,0.92,69.93,0.5,24,0.15,11.76,4.76,1.02,35.48,8.67,2.52,11.13,0.05,7.36,8.7,3.56,41,42.15
16,18335,78344,158452.999999998,669525.999999999,44.89,39.78,76.62,15.17,4.28,4.25,66.34,44.07,42,1024.3,2082.48,1.47,16.65,26.72,54.63,32.76,19.99,98.25,24.09,73.99,6.72,17.49,89.38,83.15,13.42,38.55,91.84,42.25,88.62,100,100,89.54,34.49,95.34,83.19,61.53,58.08,44.36,10.88,62.84,0.775,2537.03,3274.09,0.739,2703.64,3659.73,22.25,17.05,11.84,55.41,57.53,50.09,3166.02,2928.62,35.06,6.15,1.29,23.77,8.39,1.05,65.68,1.1,22,0.11,12.56,3.53,1,41.47,10.03,2.64,12.52,0.08,7.27,5.86,3.61,48.07,40.01
17,77645,267745,402257.000000001,1383445,66.91,20.55,67.53,19.3,1.34,3.46,53.47,36.54,43.96,993.54,1921.29,1.4,15.86,22.02,78.56,29.83,17.46,94.68,31.55,85,14.54,9.47,77.08,87.09,28.96,17.45,87.13,53.32,85.85,100,100,91.13,44.71,97.02,84.66,66.29,46.87,34.69,10.27,61.39,0.652,1987.53,3047.18,0.552,2110.26,3823.21,19.61,23.54,7.37,56.86,49.75,49.22,2871.58,2548.4,29.73,6.35,0.75,24.46,9.1,1.95,63.56,0.93,25,0.2,10.77,5.84,1.03,51.3,14.53,3.14,17.59,0.03,6.53,3.87,3.21,39.3,42.94
21,194988,793241,1661659,6574788.99999999,53.85,30.01,81.28,9.61,1.85,3.96,60.74,41.37,45.24,603.22,1197.58,0.85,9.75,13.56,65.14,46.74,22.39,96.2,31.01,63.06,13.3,21.77,55.79,64.67,23.91,12.91,79.54,61.59,78.03,100,100,90.32,53.38,96.24,83.17,58.47,38.62,26.64,5.44,54.17,0.668,1423.53,2132.16,0.548,1481.65,2703.83,14.2,28.99,8.61,49.5,43.19,35.06,2037.37,1767.84,36.31,7.38,1.26,21.87,9.61,1.13,66.87,0.52,24,0.19,11.74,6.01,0.98,30.95,6.69,2.09,8.75,0.02,8.41,9.24,3.55,44.72,43.56
22,135629,496477,852506.000000003,3118360,67.17,21.61,77.76,8.94,2.43,3.66,53.9,38.78,47.16,697.85,1347.84,0.97,11.18,15.33,71.85,41.69,23.16,93.13,36.68,75.57,8.69,21.48,61.52,75.24,32.87,11.32,77.76,64.19,77.52,100,100,92.03,54.23,97.58,85.45,53.09,35.97,24.67,7.3,55.26,0.712,1582.27,2223.83,0.579,1601.66,2767.4,16.53,31.48,7.9,50.9,46.66,38.34,2101.98,1887.3,33.2,8.16,0.89,24.23,9.29,2.12,64.25,0.11,27,0.28,9.64,7.46,0.96,26.07,5.78,1.83,7.6,0.01,7.56,4.95,3.33,42.01,45.59
23,234652,846164,2380173.00000001,8452381.00000003,84.2,23.9,71.09,18,6.8,3.56,53.54,39.56,46.48,780.64,1510.11,1.08,14.72,19.21,76.97,37.75,21.84,98.96,46.86,82.15,35.49,9.42,75.39,84.77,42.52,17.23,81.8,57.22,82.01,100,100,92.37,45.11,96.89,81.54,64.74,42.96,29.47,7.18,55.85,0.687,1630.86,2375.55,0.573,1603.5,2797.86,15.95,28.68,7.69,51.56,51.2,43.34,2126.91,1989.81,31.65,8,0.62,31.65,4.56,1.23,62.33,0.24,27,0.29,9.22,7.6,0.95,26.41,5.79,1.96,7.7,0.05,8.38,7.42,3.28,42.5,45.24
