codigo,pir
11,CMCLCFBwBkBcBMA9AwAkAdAYASANAHAEABAAAACGCFCBBxBgBWBHA5ApAfAYASANAIAFADABABAA
12,CVCbCQBwBdBKA+A1ArAhAZAVARAOAJAGADABAACTCSCOBxBaBMA/A1ApAfAYASANAMAHAEADABAA
13,CTCaCOBxBcBPBEA1ArAgAaASAPAMAHAFACABAACQCVCMByBcBQBDA0ApAeAYARAPALAHAFADABAA
14,CMCMB6BqB0CCBlBCA4AmAdASAMAKAGADABABABCFCHB2BfBZBUBGA1AlAXAWANAMAIAEADACABAB
15,CTCUCJByBdBMBCA2AtAjAcAVARANAIAGADABAACOCQCHBwBcBMBBA1ApAhAaAUAQAMAIAHAEACAB
16,CfCgCPByBbBMBBAzAlAgAWARAPAIAHAEADABAACcCZCNB0BcBOBBAyAkAfAXARANAIAGAFAEACAB
17,CKCTCMBzBZBMA/A2AvAmAgAaAUAQALAHAEABAACGCLCIBuBXBKA+A1AqAjAcAXARANAJAGAEABAA
21,CVCbCLBuBTBCA4AxAqAiAcAXATAQAMAHAEABAACTCYCLBsBVBIA8A0ArAjAdAYATAQALAIAEACAB
22,CGCPCIBzBSBFA4AwArAjAdAYAUAQAMAIAFACABCDCMCKB2BbBNBAA3AuAmAgAaAWARAMAJAFADAB
23,CFCEB9BrBVBLA6AxAtAkAfAYAWAUANAJAFACABCBCDB8BuBdBTBCA5AyAoAkAeAaAVAOAKAGADAB
24,B+CBB5BqBbBQBAAxAtAjAfAWAVAUAPALAGADABB7B/B5BsBfBXBEA4AzAnAjAbAZAWAQAMAGAEAC
25,B8CCB/BwBTBGA3AvArAiAfAYAXAWARAMAHADABB6B/CABxBbBOA+A4AyApAmAfAdAZASANAHAEAB
26,B4B+B9BwBYBLA9AzAtAkAgAYAWATAOAJAFACABB2B8B8ByBfBTBFA8A0AqAmAdAbAWAPALAGADAB
27,CGCKCDBzBaBKA7AyArAiAcAUASAPALAIAEACABCECJCFB1BhBOBAA4AuAlAfAZAWAQANAIAFACAC
28,CCCHCCBxBfBOA+AzArAiAbAVASAPAMAJAFACABCACECBBzBiBUBCA4AvAlAeAbAWASANAJAGADAB
29,B8CMCJBxBZBKA+AzAtAkAeAXAUARAMAIAFACABB5CJCIBxBcBOBCA3AvAmAgAaAWASANAKAGADAB
31,BvB0B1BmBdBVBMBAA1ApAjAdAYASAMAIAEACABBrBxByBlBdBYBOBDA2AsAlAgAbAVAOAKAGADAB
32,ByB5B3BlBfBYBQBEAyAnAfAbAXARALAHAEABABBtB1B0BmBeBbBQBEAzAnAhAdAZASAMAIAFADAB
33,BcBhBkBaBYBXBSBIA8AuApAiAdAVANAIAEACABBYBeBiBbBbBeBZBQBDA0AtAoAlAbASANAHADAC
35,BkBrBoBdBeBcBUBJA7AtAmAeAaATAMAHAEABAABhBoBmBdBdBeBXBLA9AvAnAiAdAWAPAKAGACAB
41,BvByByBoBgBYBLBBA2ArAkAdAYASALAHAEABAABrBuBuBoBiBcBPBEA3AsAjAfAZASAMAIAEACAB
42,BxBzBuBjBhBfBTBFA4ApAjAbAXARALAGADABAABsBuBqBiBfBgBTBFA3ArAiAdAZATANAJAEACAB
43,BkBqBlBZBWBZBSBIA9AvApAhAcAVAOAIAEACAABgBmBiBXBWBcBVBLA/AzAqAmAhAZATAMAHADAB
50,B4B8B3BpBfBZBNBAA1ApAjAaAWAQAKAHAEABABB0B3B0BoBfBdBPBBAyApAfAZATAPAJAHAEACAB
51,CACDB+BxBnBeBQBBA0AoAgAYATAMAIAFACABAAB8B9B6BuBhBaBLA8AtAjAbATAPAJAGAEACABAA
52,BxB2B3BuBkBaBMBAA1AqAiAaAVAQAJAGADABAABsBxB1BuBmBdBPBCAzApAgAbAVAPAJAGADABAB
53,BvB0ByBkBqBfBLA/A0AmAgAWAPAJAFADACABAABsBxB0B1B2BsBXBKA6ArAfAXARALAHAFADABAA
