cod_uf,nome_uf,n_dom_amostra,n_pes_amostra,n_fam_amostra,dom_pond,pop_pond,a1_internet,a2_agua_rede,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,a10_parede_alv,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19b_rdpc_media,a20_rdpc_baixa,a21_com_defic,b1_alfabetizacao,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,b10_sem_instrucao,c1_participacao,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,c10_raz_rend_sexo,c11_raz_rend_raca,c12_ocup_superior,c13_beneficio,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,d8_indigena,d9_quilombola,d10_deficiencia,d11_sem_registro,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4_trab_outro_mun,e5_desloc_mais_1h,e6_desloc_minutos,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp,a19_rdpc_mediana,d2_idade_mediana
11,Rondônia,60461,170240,51935,562573,1581196,88.9,46.3,95.9,10.8,1.4,79.5,98.6,10.5,75.9,61.2,11.5,63.1,20.2,6.5,2.81,30.5,44.1,46.3,1806.11,25.2,15.4,93.6,23,97.6,84.7,59.1,56,42.2,15.7,8.5,15,55.8,3.8,53.7,64,60.7,4.4,2935.64,2699.41,27.3,0.761,0.771,19.2,26.1,30.6,8.8,0.3,59.3,1.1,0.367,8.6,8.1,0.993,1.3,0.2,7.1,0.5,51.9,9.3,0.3,2.5,6,29.1,3.05,44.2,45.4,1376.08,32
12,Acre,36049,116783,32576,266088,830018,74.7,52.9,83.1,33.9,16.3,78.6,86,26.8,55.4,50,20.5,74.3,13.8,5.9,3.12,38,48.8,44.6,1493.05,39.8,17.7,88.5,36.1,96.6,81.6,58.1,58.3,45.5,17.4,8.6,18.4,50.4,5.9,47.4,51.9,52.8,6.2,2562.95,2280.85,29.5,0.79,0.73,20.2,31.1,21.2,8.6,0.2,66.5,3.4,0.237,10.2,6.3,1.002,3.7,0,7.4,1.3,26.8,5.2,0.2,2.3,6.6,30.7,3.29,50.8,43.8,917.39,27
13,Amazonas,98377,389199,102858,1087243,3941613,77.9,66.4,87.1,28.5,13.5,82.9,89.8,27.8,56.5,66.5,30.6,69.4,18.4,10.6,3.63,41.8,49.7,45.4,1446.03,45,18.5,93.1,22.4,96,83.7,56.8,66.8,52.2,15,9.5,12.5,50.9,8.6,46.5,54.4,50.8,3.8,2529.69,2262.51,33.9,0.757,0.626,20,27.5,18.1,4.8,0.2,69,7.9,0.216,10.8,5.9,0.995,12.7,0.1,7,2.3,24.8,5.2,1.3,1.6,17.7,50,3.46,51.6,44.9,774.05,27
14,Roraima,24135,85986,22370,183975,636707,81.3,81.6,90.9,41.8,3.1,80.6,92.7,44.8,58.8,73.7,30.7,60,25,8.3,3.46,42.1,49.3,43.5,1653.59,38.6,14.7,93.2,23.6,91.5,79.2,55.8,68.9,56.2,18.9,9.9,12.7,53.8,4.5,51.4,50.8,54.6,4.7,2818.67,2637.49,33,0.835,0.695,20.4,21.9,20.4,7.8,0.1,57.4,14.3,0.173,12.2,5.1,1.013,15.4,0,5.6,8.3,46.5,16.5,12,2.2,6.8,33.9,3.48,51.6,42.8,941.09,26
15,Pará,249992,833378,236716,2466112,8120131,77.7,48.8,87.5,12.9,6.3,78.3,91,14.8,36.2,66.1,23.2,72,15.4,5.1,3.29,36.1,48.8,46.2,1374.93,42.3,18.3,91.5,24.8,97.5,83.6,56,57.4,42.2,12,8.6,13.9,49.8,6.4,46.7,50.5,48.1,4.4,2370.3,2121.46,30.8,0.744,0.664,16.7,30.5,19.3,9.8,0.2,69.9,0.9,0.295,9.4,7.2,0.996,1,1.7,7.3,1.5,33.4,6.8,0.1,5.8,12.4,43.3,3.3,50.4,45.4,834.82,29
16,Amapá,18403,68341,18522,204373,733759,85.2,43.4,86.6,9.1,11.9,90.4,94.9,8.5,55.9,61.4,28.6,70.6,15.2,8.8,3.59,42.4,52.9,45,1596.25,38.5,19.1,93.9,23.7,96.5,83,58,68.6,55.3,20.7,9.9,11.8,56.6,8.8,51.6,52,52.5,5,2712.03,2466.62,30.3,0.819,0.759,22.6,27.4,21.3,11.8,0.1,65.5,1.4,0.203,10.7,5.5,0.987,1.5,1.8,7.1,2.2,34.2,5.5,0.1,5,9.4,39.3,3.43,55.6,44.4,926.56,27
17,Tocantins,93447,274941,80483,517488,1511460,83.6,81.8,96.1,27.6,2.1,85.2,96.9,28.8,53.1,81.2,13.6,61.8,21.1,3.2,2.92,31.6,47,46.8,1842.8,25.9,16.1,91.5,29,98.7,86.2,61.5,62.4,50,18,9.2,13.5,57.1,4.1,54.7,51.6,60.9,4.8,2942.52,2642.07,23.7,0.753,0.662,22,28.4,22.8,13.3,0.2,62.4,1.2,0.372,9,8.7,1.004,1.3,0.9,6.9,0.6,48.6,10.7,0.1,4.7,6.5,31.8,3.16,48.6,45.9,1261.41,31
21,Maranhão,244256,797135,228292,2103614,6776699,77.1,66.3,82.1,15.2,7.3,71.5,86.8,15.2,27.2,75.2,19.3,76.6,12,4,3.22,35,53,47.3,1248.79,44.6,20.2,86.3,39.6,98.5,84.7,58.1,54.4,40.7,11.1,8.1,18.2,47,7.1,43.7,45,46.2,4.9,2130.63,1871.47,29.2,0.771,0.66,19.4,36,19.9,12.8,0.1,66.4,0.8,0.349,9.2,8.5,0.966,0.8,4,8.1,0.8,30.7,5.8,0,9.4,10.4,45.9,3.29,54.6,46.5,769.08,30
22,Piauí,166500,500931,150843,1077695,3271199,78.3,77.1,89.6,15.2,7.1,73.7,92.3,17.8,30.7,80.2,14.5,76.1,11,4.6,3.04,30.3,50.3,49.4,1354.29,40.1,22.1,84.5,40.5,98.9,87.8,59.5,51,38.5,13.9,7.9,18.4,46.6,7.7,43,48.7,51.4,5.8,2189.11,1943.71,26.5,0.789,0.666,20.9,39.7,22.5,12.3,0.1,64.9,0.2,0.511,8,10.7,0.958,0.2,1,9.4,0.9,26.1,5.5,0,7.6,6.9,44.9,3.14,51.1,48.4,877.25,34
23,Ceará,304110,883087,268045,3040329,8794957,82.6,79.3,91.8,38.5,3.6,85.6,96.5,38.6,41,89.5,14.5,66.3,21.9,10.1,2.89,29.7,52.5,48.2,1402.46,40,20,87.2,34.4,98.6,85.9,59.4,57.1,42.8,12.7,8.4,16.9,49,6.4,45.8,54.8,53.2,4.6,2255.63,2053.8,27.6,0.777,0.655,19.9,34.5,27.6,6.9,0.1,64.9,0.5,0.507,7.9,10.4,0.938,0.6,0.3,8.9,0.5,27.3,5.5,0.1,8.4,9.9,37.8,3.07,54,47.2,882.98,33
